UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;00015;1100015;Alta Floresta D'Oeste;23.167
RO;11;00023;1100023;Ariquemes;106.168
RO;11;00031;1100031;Cabixi;5.438
RO;11;00049;1100049;Cacoal;84.813
RO;11;00056;1100056;Cerejeiras;16.444
RO;11;00064;1100064;Colorado do Oeste;16.227
RO;11;00072;1100072;Corumbiara;7.567
RO;11;00080;1100080;Costa Marques;17.855
RO;11;00098;1100098;Espigão D'Oeste;32.047
RO;11;00106;1100106;Guajará-Mirim;45.783
RO;11;00114;1100114;Jaru;51.933
RO;11;00122;1100122;Ji-Paraná;127.907
RO;11;00130;1100130;Machadinho D'Oeste;39.097
RO;11;00148;1100148;Nova Brasilândia D'Oeste;20.459
RO;11;00155;1100155;Ouro Preto do Oeste;36.340
RO;11;00189;1100189;Pimenta Bueno;36.434
RO;11;00205;1100205;Porto Velho;519531(1)
RO;11;00254;1100254;Presidente Médici;19.409
RO;11;00262;1100262;Rio Crespo;3.723
RO;11;00288;1100288;Rolim de Moura;54.702
RO;11;00296;1100296;Santa Luzia D'Oeste;6.781
RO;11;00304;1100304;Vilhena;97.448
RO;11;00320;1100320;São Miguel do Guaporé;22.931
RO;11;00338;1100338;Nova Mamoré;29.757
RO;11;00346;1100346;Alvorada D'Oeste;14.722
RO;11;00379;1100379;Alto Alegre dos Parecis;13.227
RO;11;00403;1100403;Alto Paraíso;20.999
RO;11;00452;1100452;Buritis;38.937
RO;11;00502;1100502;Novo Horizonte do Oeste;8.751
RO;11;00601;1100601;Cacaulândia;6.190
RO;11;00700;1100700;Campo Novo de Rondônia;14.009
RO;11;00809;1100809;Candeias do Jamari;25.983
RO;11;00908;1100908;Castanheiras;3.119
RO;11;00924;1100924;Chupinguaia;10.886
RO;11;00940;1100940;Cujubim;24.226
RO;11;01005;1101005;Governador Jorge Teixeira;8.095
RO;11;01104;1101104;Itapuã do Oeste;10.272
RO;11;01203;1101203;Ministro Andreazza;9.762
RO;11;01302;1101302;Mirante da Serra;11.080
RO;11;01401;1101401;Monte Negro;15.695
RO;11;01435;1101435;Nova União;7.047
RO;11;01450;1101450;Parecis;5.947
RO;11;01468;1101468;Pimenteiras do Oeste;2.191
RO;11;01476;1101476;Primavera de Rondônia;2.939
RO;11;01484;1101484;São Felipe D'Oeste;5.280
RO;11;01492;1101492;São Francisco do Guaporé;19.842
RO;11;01500;1101500;Seringueiras;11.860
RO;11;01559;1101559;Teixeirópolis;4.384
RO;11;01609;1101609;Theobroma;10.494
RO;11;01708;1101708;Urupá;11.665
RO;11;01757;1101757;Vale do Anari;11.028
RO;11;01807;1101807;Vale do Paraíso;6.998
AC;12;00013;1200013;Acrelândia;15.020
AC;12;00054;1200054;Assis Brasil;7.300
AC;12;00104;1200104;Brasiléia;25.848
AC;12;00138;1200138;Bujari;10.111
AC;12;00179;1200179;Capixaba;11.456
AC;12;00203;1200203;Cruzeiro do Sul;87.673
AC;12;00252;1200252;Epitaciolândia;18.122
AC;12;00302;1200302;Feijó;34.675
AC;12;00328;1200328;Jordão;8.159
