ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2014; Norte  ; Rondônia  ;237765,24;1748531;105295;48780;283279;65223;10310;239;58881;9840;502;1104;233;35;7;269;925;2437;12569;4074;979;33;3176;9366;463;539,4;492,8;433,1;440
2014; Norte  ; Acre  ;164123,964;790101;67701;32796;163799;42245;7696;1251;28251;6864;471;1485;181;17;9;441;810;1707;7311;2121;372;62;1593;5891;450,1;529,7;484;418,7;440
2014; Norte  ; Amazonas  ;1559167,889;3873743;184864;139240;737775;189948;32051;923;96934;10857;3340;5020;403;101;23;1477;1683;6153;30767;7098;1821;105;4643;12656;452,7;533,5;489,3;425,4;480
2014; Norte  ; Roraima  ;223644,527;496936;26703;21630;92795;22721;3657;790;10247;2026;346;651;138;16;7;107;335;1123;5294;1863;325;41;976;3652;456,4;531,6;487,1;425,6;480
2014; Norte  ; Pará  ;1245870,798;8073924;433868;293899;1497064;359736;34957;3855;239449;28235;6949;10127;752;132;46;2567;4895;14528;62509;14215;2250;229;17376;32997;460;538,5;493,8;427;480
2014; Norte  ; Amapá  ;142470,762;750912;62298;25352;138886;38626;6932;26;23393;3951;384;710;129;25;1;236;484;1358;7463;2422;486;3;1862;5716;454,6;533;490,2;421,3;480
2014; Norte  ; Tocantins  ;277466,763;1496880;69509;60863;248836;70525;11995;707;20785;10425;850;1370;312;68;13;286;1068;3865;12340;4429;977;58;2195;9672;456,9;530,2;491,2;429;440
2014; Nordeste  ; Maranhão  ;329642,182;6850884;305477;339586;1257625;311618;30769;1514;180787;27382;9040;10779;1024;127;30;3508;5176;18744;67767;17840;2077;99;13088;36419;454,4;531,5;490,1;425,1;460
2014; Nordeste  ; Piauí  ;251756,515;3194718;194355;137763;519819;137773;39994;3708;92206;12133;3536;4421;625;136;28;1345;2671;7963;30380;10038;2857;182;7781;17598;460,5;532,4;493,8;429,2;440
2014; Nordeste  ; Ceará  ;148894,441;8842791;570695;386496;1308391;388457;73727;8627;183777;36366;5860;6254;930;206;108;2039;5371;22329;60249;20036;4132;552;9779;42998;461,5;535,8;501;437,7;480
2014; Nordeste  ; Rio Grande do Norte  ;52809,602;3408510;205953;143133;493086;135609;34662;3389;82155;13845;2275;2868;439;87;60;883;2335;8055;22901;6685;1971;312;4963;16581;467,3;547,3;506,7;445;500
2014; Nordeste  ; Paraíba  ;56467,242;3943885;230888;141499;589897;138252;26488;8165;153193;16551;4129;4791;564;121;67;2164;2865;8379;31987;10339;2513;400;11529;19483;465,1;542,8;503,5;439,6;480
2014; Nordeste  ; Pernambuco  ;98067,881;9277727;432966;326668;1373572;383909;124081;9086;215309;30453;7181;8256;1175;315;96;2311;4628;17498;60755;20634;5661;661;15482;31932;466,5;545,9;507;442,6;480
2014; Nordeste  ; Alagoas  ;27843,295;3321730;147813;115837;539115;127981;26961;2264;113880;14569;2177;2683;352;72;23;1336;1927;6295;21959;5952;1381;115;6647;14824;460,1;534,5;492,8;430,4;480
2014; Nordeste  ; Sergipe  ;21925,424;2219574;124489;78181;350168;81801;15720;285;46576;6634;1583;1950;263;45;3;452;1239;4092;16374;4456;1069;17;2921;8425;463,8;537,1;495,4;431,8;460
2014; Nordeste  ; Bahia  ;564760,427;15126371;665084;504824;2190287;562012;112340;2908;397979;57030;13236;16314;1562;362;53;4697;9753;28469;108632;32839;8497;350;27008;62045;464,5;544,2;501,9;435,8;480
2014; Sudeste  ; Minas Gerais  ;586521,123;20734097;979283;707892;2745912;796167;195888;1224;335165;104834;8871;11575;3050;1129;20;3030;9690;49618;145952;60290;14355;105;28675;104791;488,6;565;523,5;475,3;520
2014; Sudeste  ; Espírito Santo  ;46074,447;3885049;166407;166904;515982;134950;49438;559;72627;17012;1622;2316;444;213;8;452;2119;11984;27150;9436;4322;36;5432;24387;484,9;562,4;518,6;468,2;500
2014; Sudeste  ; Rio de Janeiro  ;43750,427;16461173;606609;582067;2159990;599482;188936;3756;235104;51471;7434;8134;2217;629;52;1616;6575;37499;108333;46001;12389;228;18930;67977;486,5;569,5;529,8;472;540
2014; Sudeste  ; São Paulo  ;248219,481;44035304;1324557;2009321;5537627;1928274;446544;865;448143;174905;16461;15297;6396;1284;14;2918;17590;130475;275466;119810;27815;57;30536;218828;491,6;569;532,7;479,6;520
2014; Sul  ; Paraná  ;199298,979;11081692;406577;400136;1493849;476207;118228;888;150023;79961;5361;6332;1945;555;10;1316;6280;30601;85344;37767;14171;25;11532;70145;486,3;564,5;520,7;468,3;520
2014; Sul  ; Santa Catarina  ;95730,684;6727148;164207;311109;799552;284172;72400;297;76093;24685;3871;3273;986;292;12;418;3788;27233;43529;17735;6463;58;3620;39719;492;567,3;523,9;478,9;520
2014; Sul  ; Rio Grande do Sul  ;281707,156;11207274;473973;357656;1374717;396596;116533;246;147261;71720;6178;6350;1501;516;11;1256;6479;29206;78066;30220;10022;47;12119;67386;482,5;563,1;523;465,6;520
2014; Centro-Oeste  ; Mato Grosso do Sul  ;357145,534;2619657;162864;112279;403150;99328;25124;2685;43871;17120;1057;1132;422;141;25;301;1202;8124;21154;7377;1872;167;3376;17980;469;546,4;501,7;442,6;460
2014; Centro-Oeste  ; Mato Grosso  ;903207,019;3224357;180018;137596;464859;159680;24633;376;89535;16776;1471;2013;591;132;10;582;1705;7263;23673;10225;2548;45;5707;17105;464,2;537,8;494,2;434,3;460
