ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2016; Norte  ; Rondônia  ;237765,24;1787279;100101;50932;277002;60916;10480;1368;51372;11425;537;1045;238;40;20;213;963;2579;11874;3727;858;129;2595;9834;451;520;509;455;500
2016; Norte  ; Acre  ;164123,964;816687;60220;36444;160484;42573;5352;818;25171;7498;527;1446;208;25;11;352;805;1877;7089;2255;347;34;1388;6096;444;513;503;439;500
2016; Norte  ; Amazonas  ;1559167,889;4001667;193830;139405;721071;196480;30261;1786;88723;13064;3364;4879;449;109;32;1203;1857;6353;32379;7999;2102;122;4800;17182;447;517;505;443;520
2016; Norte  ; Roraima  ;223644,527;514229;24111;23004;92618;22461;4241; -   ;9648;2315;378;652;154;19; -   ;109;353;1319;5418;2015;405; -   ;1016;4051;452;520;509;449;520
2016; Norte  ; Pará  ;1245870,798;8272724;441188;297098;1465874;364418;34918;5186;201187;33485;7031;9804;779;140;75;2068;5379;15385;62323;14636;2317;343;14994;38456;453;521;504;445;520
2016; Norte  ; Amapá  ;142470,762;782295;60064;25130;136651;39163;7624;266;23700;4834;393;707;140;25;3;205;516;1373;7675;2555;555;21;1999;6675;448;514;500;441;520
2016; Norte  ; Tocantins  ;277466,763;1532902;76601;62110;251781;66772;14585;1326;18595;11888;847;1346;333;87;35;257;1105;4030;12465;4584;1358;194;2053;10570;449;514;504;448;520
2016; Nordeste  ; Maranhão  ;329642,182;6954036;326960;336569;1217005;319656;31709;4188;143849;31614;8853;10343;1054;126;147;2850;5512;20328;69302;18473;2256;482;11441;42455;450;512;499;441;520
2016; Nordeste  ; Piauí  ;251756,515;3212180;186808;136975;497338;142710;40625;10278;142538;14300;3287;4029;648;150;209;1296;2750;8702;30324;11112;3612;864;10398;20123;453;515;502;446;520
2016; Nordeste  ; Ceará  ;148894,441;8963663;516359;386787;1248635;379866;82363;5767;165264;44545;5570;5985;943;222;132;1691;5463;24298;60840;18642;4964;436;8784;48697;458;524;512;454;540
