ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2018; Norte  ; Rondônia  ;237765,24;1757589;62266;51191;269626;59573;13601;1476;38508;12751;551;998;244;42;11;186;954;2619;11454;3708;920;159;2270;10347;466,6;557;507,9;494;480
2018; Norte  ; Acre  ;164123,96;869265;37785;38489;157646;38141;7830;140;43383;10182;516;1373;227;20;3;388;879;2016;6992;2337;482;27;2923;7011;457,25;545,3;504,3;484,7;460
2018; Norte  ; Amazonas  ;1559167,89;4080611;123755;153151;705007;205698;28316;156;78889;17650;3455;4734;471;103;5;1169;2126;7171;32452;8225;2079;28;5304;21356;459,4;546,3;502,9;488,9;480
2018; Norte  ; Roraima  ;223644,53;576568;14029;26767;96582;22191;5508;82;8047;2814;393;650;162;19;1;110;402;1540;5318;2152;374;9;1067;4226;472,55;558,7;513,95;498,35;480
2018; Norte  ; Pará  ;1245870,8;8513497;283861;314177;1439788;359331;42858;2032;183826;45567;7019;9438;842;146;29;1871;6343;16371;61394;15034;2813;198;13686;46648;464,6;557;504,5;491,3;500
2018; Norte  ; Amapá  ;142470,76;829494;40109;25176;136185;35427;9141;109;22312;5652;367;705;141;25;3;193;540;1353;7221;2396;762;35;1809;6803;458,8;550,9;501,7;487,8;480
2018; Norte  ; Tocantins  ;277466,76;1555229;55145;65186;246183;63384;14987;496;17943;14374;815;1313;341;89;10;271;1182;4084;13018;4987;1475;97;2451;12211;463,6;545,1;501,8;489,5;480
2018; Nordeste  ; Maranhão  ;329642,18;7035055;218462;353756;1178949;311830;38773;453;164450;40162;8348;9690;1051;144;22;2994;6246;21070;66762;18107;2588;89;11323;48606;459,6;545,9;499,6;484,8;480
2018; Nordeste  ; Piauí  ;251756,52;3264531;118350;143362;480126;135125;49446;228;184671;21432;2893;3478;651;153;10;1324;3134;9252;28895;11339;3537;42;11860;26235;462,1;550,7;503,1;491,3;500
2018; Nordeste  ; Ceará  ;148894,44;9075649;329406;410608;1198116;367781;87336;6711;168244;57567;5272;5614;945;242;146;1667;5862;25904;57836;19059;5476;509;8770;56389;470,5;567,8;519,4;508,4;520
2018; Nordeste  ; Rio Grande do Norte  ;52809,6;3479010;124039;145302;467629;124592;43456;505;65822;19035;2095;2642;449;128;12;637;2440;8275;21948;7079;2741;52;3987;19244;476,2;575;524,2;513,5;520
2018; Nordeste  ; Paraíba  ;56467,24;3996496;152049;151296;556248;141297;27684;171;123182;22747;3568;4066;621;119;3;1577;3089;9209;30006;11005;2643;34;9503;24786;470,8;567,2;514,8;504,6;520
2018; Nordeste  ; Pernambuco  ;98067,88;9496294;304302;338062;1301930;339909;103806;927;193302;41852;6423;7130;1113;212;20;1818;5246;18498;56905;18232;4206;113;12923;42070;473,3;567,8;518,5;510,8;520
2018; Nordeste  ; Alagoas  ;27843,3;3322820;89670;129203;490587;118393;24327;2367;118156;22124;2039;2421;410;51;13;1187;2153;7538;21448;6871;1345;67;6846;19010;465,2;554,8;505,8;498,2;500
2018; Nordeste  ; Sergipe  ;21925,42;2278308;74633;82260;331297;77939;12635;33;42620;9249;1446;1802;291;40;2;436;1445;4464;16168;5000;890;6;2975;11347;472,5;565,9;514,2;500,1;520
2018; Nordeste  ; Bahia  ;564760,43;14812617;401328;542145;2034711;566952;137193;721;358826;90041;11809;14081;1577;366;20;3910;11144;33201;105266;31397;8510;118;24006;88922;470,8;567;514,7;497,9;520
2018; Sudeste  ; Minas Gerais  ;586521,12;21040662;587471;802462;2511483;821349;163614;6809;311815;136026;9168;10734;3168;1137;48;2696;10842;57505;143977;60729;12758;293;27452;133436;501,1;596,7;544,2;538,1;540
2018; Sudeste  ; Espírito Santo  ;46074,45;3972388;112173;176688;502059;116959;36801;132;63659;25909;1637;2111;419;145;2;311;2254;12722;25923;8144;3186;46;3844;27272;493,9;594,4;538,5;532,9;540
2018; Sudeste  ; Rio de Janeiro  ;43750,43;17159960;382078;619058;2003315;572899;170571;299;243803;67681;7379;7677;2286;602;18;1356;7623;38395;102737;45388;11346;100;16656;83530;497,1;600,6;550,7;534,3;560
2018; Sudeste  ; São Paulo  ;248219,48;45538936;934174;2237975;5367614;1640170;440893;899;453944;191801;17654;15112;6492;1052;21;2466;19435;162911;276171;113370;23097;158;29510;238803;503;601,8;555,3;543,2;540
2018; Sul  ; Paraná  ;199298,98;11348937;236533;490640;1427218;424898;125032;7578;178500;102330;5946;6201;2000;505;74;1189;7126;42417;83288;33248;11962;837;10560;81264;498,7;598,7;546,4;531,7;520
2018; Sul  ; Santa Catarina  ;95730,68;7075494;123933;366728;851993;242534;66366;420;73462;34776;3895;3119;996;273;12;489;4358;30859;45319;18816;6173;85;3734;48843;502,6;602,2;548,2;539,1;540
2018; Sul  ; Rio Grande do Sul  ;281707,16;11329605;243555;442501;1298736;338065;124415;425;157097;89477;6398;5926;1503;474;11;1165;6951;34374;73770;27771;9872;59;11558;74573;493,8;599,4;546,8;529,7;540
2018; Centro-Oeste  ; Mato Grosso do Sul  ;357145,53;2748023;72319;129883;404114;102123;18413;16;41818;19932;1113;1138;421;149;1;290;1320;9360;21965;7880;2113;3;3333;20604;484,1;576,15;525,5;506,5;500
