UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;00015;1100015;Alta Floresta D'Oeste;22.945
RO;11;00023;1100023;Ariquemes;107.863
RO;11;00031;1100031;Cabixi;5.312
RO;11;00049;1100049;Cacoal;85.359
RO;11;00056;1100056;Cerejeiras;16.323
RO;11;00064;1100064;Colorado do Oeste;15.882
RO;11;00072;1100072;Corumbiara;7.391
RO;11;00080;1100080;Costa Marques;18.331
RO;11;00098;1100098;Espigão D'Oeste;32.374
RO;11;00106;1100106;Guajará-Mirim;46.174
RO;11;00114;1100114;Jaru;51.775
RO;11;00122;1100122;Ji-Paraná;128.969
RO;11;00130;1100130;Machadinho D'Oeste;39.991
RO;11;00148;1100148;Nova Brasilândia D'Oeste;20.474
RO;11;00155;1100155;Ouro Preto do Oeste;36.035
RO;11;00189;1100189;Pimenta Bueno;36.660
RO;11;00205;1100205;Porto Velho;529.544(1)
RO;11;00254;1100254;Presidente Médici;18.986
RO;11;00262;1100262;Rio Crespo;3.764
RO;11;00288;1100288;Rolim de Moura;55.058
RO;11;00296;1100296;Santa Luzia D'Oeste;6.495
RO;11;00304;1100304;Vilhena;99.854
RO;11;00320;1100320;São Miguel do Guaporé;23.005
RO;11;00338;1100338;Nova Mamoré;30.583
RO;11;00346;1100346;Alvorada D'Oeste;14.411
RO;11;00379;1100379;Alto Alegre dos Parecis;13.241
RO;11;00403;1100403;Alto Paraíso;21.428
RO;11;00452;1100452;Buritis;39.654
RO;11;00502;1100502;Novo Horizonte do Oeste;8.538
RO;11;00601;1100601;Cacaulândia;6.230
RO;11;00700;1100700;Campo Novo de Rondônia;14.139
RO;11;00809;1100809;Candeias do Jamari;26.693
RO;11;00908;1100908;Castanheiras;3.052
RO;11;00924;1100924;Chupinguaia;11.182
RO;11;00940;1100940;Cujubim;25.215
RO;11;01005;1101005;Governador Jorge Teixeira;7.767
RO;11;01104;1101104;Itapuã do Oeste;10.458
RO;11;01203;1101203;Ministro Andreazza;9.660
RO;11;01302;1101302;Mirante da Serra;10.947
RO;11;01401;1101401;Monte Negro;15.852
RO;11;01435;1101435;Nova União;6.970
RO;11;01450;1101450;Parecis;6.074
RO;11;01468;1101468;Pimenteiras do Oeste;2.169
RO;11;01476;1101476;Primavera de Rondônia;2.856
RO;11;01484;1101484;São Felipe D'Oeste;5.172
RO;11;01492;1101492;São Francisco do Guaporé;20.266
RO;11;01500;1101500;Seringueiras;11.856
RO;11;01559;1101559;Teixeirópolis;4.308
RO;11;01609;1101609;Theobroma;10.444
RO;11;01708;1101708;Urupá;11.467
RO;11;01757;1101757;Vale do Anari;11.204
RO;11;01807;1101807;Vale do Paraíso;6.825
AC;12;00013;1200013;Acrelândia;15.256
AC;12;00054;1200054;Assis Brasil;7.417
AC;12;00104;1200104;Brasiléia;26.278
AC;12;00138;1200138;Bujari;10.266
AC;12;00179;1200179;Capixaba;11.733
AC;12;00203;1200203;Cruzeiro do Sul;88.376
AC;12;00252;1200252;Epitaciolândia;18.411
AC;12;00302;1200302;Feijó;34.780
AC;12;00328;1200328;Jordão;8.317
AC;12;00336;1200336;Mâncio Lima;18.977
AC;12;00344;1200344;Manoel Urbano;9.459
AC;12;00351;1200351;Marechal Thaumaturgo;18.867
AC;12;00385;1200385;Plácido de Castro;19.761
AC;12;00393;1200393;Porto Walter;11.982
AC;12;00401;1200401;Rio Branco;407.319
