COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 490 ; 4.145 ; 1.046 ; -   ; -   ; 580 ; 138 ; 10 ; 33 ; 2 ; -   ; -   ; 2 ; 17 ; 48 ; 263 ; 85 ; -   ; -   ; 51 ; 137 
1100379; 204 ; 2.225 ; 482 ; -   ; -   ; 147 ; 79 ; 2 ; 10 ; 1 ; -   ; -   ; 3 ; 10 ; 10 ; 108 ; 26 ; -   ; -   ; 25 ; 68 
1100403; 212 ; 3.075 ; 671 ; -   ; -   ; 375 ; 95 ; 3 ; 15 ; 1 ; -   ; -   ; 2 ; 12 ; 7 ; 133 ; 24 ; -   ; -   ; 25 ; 106 
1100346; 417 ; 2.533 ; 688 ; -   ; -   ; 392 ; 162 ; 9 ; 11 ; 2 ; -   ; -   ; 2 ; 10 ; 40 ; 155 ; 38 ; -   ; -   ; 33 ; 113 
1100023; 3.044 ; 16.758 ; 4.258 ; 1.169 ; -   ; 3.818 ; 822 ; 26 ; 36 ; 8 ; 3 ; -   ; 18 ; 45 ; 128 ; 691 ; 250 ; 88 ; -   ; 217 ; 696 
1100452; 630 ; 6.717 ; 1.508 ; -   ; -   ; 1.013 ; 331 ; 11 ; 37 ; 4 ; -   ; -   ; 4 ; 21 ; 28 ; 264 ; 98 ; -   ; -   ; 63 ; 214 
1100031; 230 ; 950 ; 246 ; -   ; -   ; 220 ; 22 ; 4 ; 6 ; 2 ; -   ; -   ; 1 ; 3 ; 12 ; 62 ; 25 ; -   ; -   ; 10 ; 32 
1100601; 123 ; 1.118 ; 207 ; -   ; -   ; 86 ; 33 ; 2 ; 5 ; 1 ; -   ; -   ; 3 ; 4 ; 7 ; 63 ; 19 ; -   ; -   ; 13 ; 46 
1100049; 2.593 ; 12.683 ; 4.312 ; 1.795 ; -   ; 2.100 ; 675 ; 29 ; 47 ; 17 ; 5 ; -   ; 5 ; 50 ; 130 ; 582 ; 252 ; 180 ; -   ; 61 ; 576 
1100700; 231 ; 2.349 ; 451 ; -   ; -   ; 210 ; 49 ; 3 ; 10 ; 2 ; -   ; -   ; 2 ; 8 ; 11 ; 102 ; 26 ; -   ; -   ; 22 ; 58 
1100809; 879 ; 4.235 ; 634 ; -   ; -   ; 1.109 ; 92 ; 10 ; 14 ; 2 ; -   ; -   ; 5 ; 12 ; 32 ; 151 ; 39 ; -   ; -   ; 65 ; 103 
1100908; 54 ; 571 ; 142 ; -   ; -   ; 72 ; 14 ; 2 ; 4 ; 1 ; -   ; -   ; 3 ; 4 ; 4 ; 43 ; 11 ; -   ; -   ; 18 ; 24 
1100056; 540 ; 2.538 ; 585 ; -   ; -   ; 800 ; 77 ; 9 ; 12 ; 3 ; -   ; -   ; 2 ; 11 ; 39 ; 139 ; 41 ; -   ; -   ; 30 ; 96 
1100924; 325 ; 1.777 ; 481 ; -   ; -   ; 90 ; 28 ; 5 ; 13 ; 2 ; -   ; -   ; 2 ; 8 ; 14 ; 102 ; 26 ; -   ; -   ; 7 ; 41 
1100064; 404 ; 2.585 ; 1.084 ; 464 ; -   ; 600 ; 181 ; 4 ; 14 ; 3 ; 1 ; -   ; 3 ; 15 ; 33 ; 157 ; 98 ; 53 ; -   ; 48 ; 145 
1100072; 114 ; 1.404 ; 348 ; -   ; -   ; 159 ; 32 ; 1 ; 9 ; 3 ; -   ; -   ; 1 ; 9 ; 4 ; 88 ; 30 ; -   ; -   ; 8 ; 56 
1100080; 458 ; 2.996 ; 629 ; -   ; -   ; 390 ; 83 ; 5 ; 11 ; 2 ; -   ; -   ; 3 ; 8 ; 24 ; 143 ; 31 ; -   ; -   ; 30 ; 54 
1100940; 496 ; 3.492 ; 644 ; -   ; -   ; 248 ; 44 ; 2 ; 7 ; 1 ; -   ; -   ; 1 ; 8 ; 17 ; 120 ; 27 ; -   ; -   ; 12 ; 69 
1100098; 678 ; 5.083 ; 1.315 ; -   ; 33 ; 527 ; 338 ; 9 ; 24 ; 4 ; -   ; 1 ; 2 ; 19 ; 31 ; 224 ; 68 ; -   ; 7 ; 24 ; 194 
1101005; 139 ; 1.688 ; 382 ; -   ; -   ; 247 ; 33 ; 3 ; 13 ; 2 ; -   ; -   ; 3 ; 8 ; 10 ; 115 ; 33 ; -   ; -   ; 38 ; 55 
1100106; 1.478 ; 8.711 ; 1.574 ; -   ; -   ; 1.961 ; 208 ; 19 ; 61 ; 7 ; -   ; -   ; 10 ; 25 ; 92 ; 430 ; 112 ; -   ; -   ; 106 ; 204 
1101104; 275 ; 1.980 ; 262 ; -   ; -   ; 448 ; 33 ; 3 ; 7 ; 1 ; -   ; -   ; 2 ; 6 ; 9 ; 75 ; 17 ; -   ; -   ; 27 ; 48 
1100114; 1.764 ; 8.865 ; 2.372 ; 125 ; -   ; 2.210 ; 540 ; 18 ; 31 ; 10 ; 1 ; -   ; 9 ; 30 ; 88 ; 494 ; 161 ; 11 ; -   ; 141 ; 394 
1100122; 2.918 ; 19.806 ; 5.186 ; 1.604 ; -   ; 3.926 ; 624 ; 27 ; 70 ; 22 ; 4 ; -   ; 13 ; 68 ; 125 ; 872 ; 346 ; 119 ; -   ; 197 ; 689 
1100130; 523 ; 6.371 ; 1.042 ; -   ; -   ; 1.241 ; 249 ; 7 ; 33 ; 4 ; -   ; -   ; 8 ; 24 ; 24 ; 268 ; 61 ; -   ; -   ; 53 ; 186 
1101203; 193 ; 1.523 ; 256 ; -   ; -   ; 200 ; 34 ; 2 ; 7 ; 1 ; -   ; -   ; 2 ; 5 ; 21 ; 89 ; 19 ; -   ; -   ; 14 ; 46 
1101302; 303 ; 2.089 ; 693 ; -   ; -   ; 384 ; 87 ; 6 ; 10 ; 2 ; -   ; -   ; 3 ; 10 ; 14 ; 89 ; 30 ; -   ; -   ; 27 ; 75 
1101401; 236 ; 2.790 ; 556 ; 56 ; -   ; 430 ; 51 ; 2 ; 9 ; 1 ; 1 ; -   ; 2 ; 7 ; 7 ; 130 ; 36 ; 15 ; -   ; 36 ; 89 
1100148; 469 ; 2.845 ; 945 ; -   ; -   ; 820 ; 64 ; 5 ; 16 ; 1 ; -   ; -   ; 2 ; 10 ; 28 ; 134 ; 26 ; -   ; -   ; 38 ; 104 
1100338; 735 ; 5.108 ; 702 ; -   ; -   ; 1.038 ; 79 ; 41 ; 61 ; 3 ; -   ; -   ; 7 ; 19 ; 65 ; 267 ; 45 ; -   ; -   ; 73 ; 117 
1101435; 127 ; 1.262 ; 313 ; -   ; -   ; 287 ; 69 ; 3 ; 5 ; 1 ; -   ; -   ; 2 ; 5 ; 6 ; 52 ; 15 ; -   ; -   ; 23 ; 50 
1100502; 259 ; 1.474 ; 572 ; 176 ; -   ; 245 ; 18 ; 3 ; 5 ; 3 ; 1 ; -   ; 3 ; 5 ; 14 ; 87 ; 39 ; 16 ; -   ; 27 ; 48 
1100155; 1.626 ; 6.074 ; 1.267 ; 27 ; -   ; 1.673 ; 291 ; 13 ; 18 ; 7 ; 1 ; -   ; 6 ; 25 ; 65 ; 268 ; 90 ; 4 ; -   ; 82 ; 224 
1101450; 82 ; 732 ; 171 ; -   ; -   ; 13 ; 35 ; 2 ; 8 ; 1 ; -   ; -   ; 1 ; 5 ; 5 ; 46 ; 10 ; -   ; -   ; 1 ; 30 
1100189; 1.248 ; 5.773 ; 1.451 ; 117 ; 12 ; 1.532 ; 336 ; 13 ; 21 ; 4 ; 1 ; 1 ; 7 ; 21 ; 67 ; 266 ; 89 ; 14 ; 5 ; 71 ; 233 
1101468; 52 ; 414 ; 73 ; -   ; -   ; -   ; 5 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 3 ; 29 ; 10 ; -   ; -   ; -   ; 12 
1100205; 16.362 ; 82.104 ; 16.251 ; 2.622 ; 194 ; 19.374 ; 1.963 ; 105 ; 242 ; 58 ; 11 ; 5 ; 82 ; 209 ; 732 ; 3.182 ; 1.018 ; 266 ; 21 ; 973 ; 2.254 
1100254; 646 ; 3.364 ; 937 ; -   ; -   ; 1.090 ; 67 ; 6 ; 16 ; 5 ; -   ; -   ; 3 ; 13 ; 33 ; 205 ; 68 ; -   ; -   ; 37 ; 113 
1101476; 143 ; 655 ; 175 ; -   ; -   ; 15 ; 23 ; 3 ; 4 ; 2 ; -   ; -   ; 1 ; 4 ; 14 ; 34 ; 17 ; -   ; -   ; 2 ; 30 
1100262; 86 ; 721 ; 137 ; -   ; -   ; -   ; 15 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 1 ; 5 ; 40 ; 11 ; -   ; -   ; -   ; 19 
