COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 594 ; 3.964 ; 837 ; -   ; -   ; 416 ; 145 ; 9 ; 31 ; 4 ; -   ; -   ; 2 ; 17 ; 51 ; 211 ; 82 ; -   ; -   ; 38 ; 149 
1100379; 223 ; 2.146 ; 418 ; -   ; -   ; 52 ; 75 ; 3 ; 10 ; 1 ; -   ; -   ; 2 ; 10 ; 13 ; 98 ; 39 ; -   ; -   ; 15 ; 71 
1100403; 221 ; 2.730 ; 545 ; -   ; -   ; 322 ; 83 ; 3 ; 13 ; 1 ; -   ; -   ; 2 ; 11 ; 10 ; 129 ; 26 ; -   ; -   ; 25 ; 89 
1100346; 415 ; 2.255 ; 459 ; -   ; -   ; 340 ; 169 ; 9 ; 11 ; 2 ; -   ; -   ; 2 ; 15 ; 36 ; 127 ; 27 ; -   ; -   ; 23 ; 122 
1100023; 3.470 ; 15.867 ; 3.995 ; 791 ; 24 ; 2.595 ; 875 ; 25 ; 37 ; 9 ; 2 ; 1 ; 12 ; 46 ; 138 ; 638 ; 259 ; 73 ; 1 ; 169 ; 700 
1100452; 720 ; 5.899 ; 1.104 ; -   ; -   ; 505 ; 340 ; 12 ; 28 ; 4 ; -   ; -   ; 4 ; 18 ; 29 ; 231 ; 74 ; -   ; -   ; 46 ; 209 
1100031; 167 ; 949 ; 180 ; -   ; -   ; 52 ; 61 ; 4 ; 6 ; 2 ; -   ; -   ; 2 ; 5 ; 10 ; 57 ; 19 ; -   ; -   ; 9 ; 43 
1100601; 120 ; 908 ; 212 ; -   ; -   ; 31 ; 36 ; 3 ; 4 ; 1 ; -   ; -   ; 2 ; 5 ; 10 ; 50 ; 36 ; -   ; -   ; 7 ; 43 
1100049; 2.445 ; 12.681 ; 3.584 ; 1.377 ; 158 ; 1.655 ; 896 ; 28 ; 44 ; 17 ; 5 ; 2 ; 4 ; 50 ; 119 ; 534 ; 259 ; 144 ; 23 ; 71 ; 629 
1100700; 309 ; 2.170 ; 345 ; -   ; -   ; 91 ; 60 ; 6 ; 7 ; 2 ; -   ; -   ; 1 ; 8 ; 12 ; 88 ; 41 ; -   ; -   ; 11 ; 80 
1100809; 939 ; 4.173 ; 709 ; -   ; -   ; 1.187 ; 130 ; 8 ; 12 ; 3 ; -   ; -   ; 7 ; 15 ; 32 ; 149 ; 43 ; -   ; -   ; 65 ; 125 
1100908; 62 ; 585 ; 134 ; -   ; -   ; 22 ; 18 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 4 ; 31 ; 9 ; -   ; -   ; 7 ; 21 
1100056; 615 ; 2.441 ; 474 ; -   ; -   ; 361 ; 151 ; 11 ; 11 ; 2 ; -   ; -   ; 2 ; 14 ; 41 ; 115 ; 28 ; -   ; -   ; 26 ; 115 
1100924; 403 ; 1.933 ; 420 ; -   ; -   ; -   ; 28 ; 8 ; 12 ; 2 ; -   ; -   ; -   ; 7 ; 17 ; 99 ; 42 ; -   ; -   ; -   ; 61 
1100064; 514 ; 2.545 ; 957 ; 483 ; -   ; 252 ; 266 ; 6 ; 13 ; 3 ; 1 ; -   ; 2 ; 15 ; 40 ; 156 ; 98 ; 59 ; -   ; 27 ; 194 
1100072; 172 ; 1.307 ; 203 ; -   ; -   ; 96 ; 29 ; 3 ; 7 ; 3 ; -   ; -   ; 2 ; 6 ; 9 ; 68 ; 39 ; -   ; -   ; 14 ; 39 
1100080; 426 ; 2.696 ; 474 ; -   ; -   ; 341 ; 147 ; 6 ; 10 ; 2 ; -   ; -   ; 2 ; 10 ; 24 ; 128 ; 44 ; -   ; -   ; 20 ; 101 
1100940; 503 ; 3.117 ; 481 ; -   ; -   ; 305 ; 52 ; 2 ; 7 ; 1 ; -   ; -   ; 2 ; 8 ; 24 ; 115 ; 25 ; -   ; -   ; 22 ; 79 
1100098; 762 ; 4.976 ; 1.198 ; -   ; -   ; 379 ; 382 ; 9 ; 23 ; 4 ; -   ; -   ; 2 ; 20 ; 38 ; 201 ; 80 ; -   ; -   ; 20 ; 212 
1101005; 157 ; 1.528 ; 365 ; -   ; -   ; 163 ; 36 ; 3 ; 12 ; 2 ; -   ; -   ; 1 ; 8 ; 12 ; 91 ; 42 ; -   ; -   ; 15 ; 53 
1100106; 1.422 ; 8.613 ; 1.840 ; 489 ; -   ; 1.260 ; 198 ; 19 ; 60 ; 8 ; 2 ; -   ; 4 ; 26 ; 83 ; 346 ; 124 ; 31 ; -   ; 46 ; 226 
1101104; 320 ; 1.820 ; 252 ; -   ; -   ; 495 ; 83 ; 4 ; 7 ; 1 ; -   ; -   ; 2 ; 9 ; 11 ; 74 ; 17 ; -   ; -   ; 24 ; 71 
1100114; 1.771 ; 8.005 ; 2.088 ; 294 ; 32 ; 822 ; 575 ; 18 ; 26 ; 11 ; 3 ; 1 ; 7 ; 31 ; 87 ; 399 ; 177 ; 27 ; 3 ; 89 ; 382 
1100122; 3.315 ; 19.573 ; 4.871 ; 1.443 ; 131 ; 3.140 ; 770 ; 30 ; 66 ; 22 ; 5 ; 1 ; 13 ; 70 ; 160 ; 818 ; 369 ; 97 ; 8 ; 162 ; 709 
1100130; 891 ; 6.116 ; 975 ; -   ; -   ; 1.062 ; 299 ; 16 ; 26 ; 4 ; -   ; -   ; 4 ; 23 ; 55 ; 267 ; 55 ; -   ; -   ; 33 ; 230 
1101203; 188 ; 1.280 ; 338 ; -   ; -   ; 58 ; 41 ; 3 ; 7 ; 1 ; -   ; -   ; 2 ; 6 ; 13 ; 78 ; 37 ; -   ; -   ; 7 ; 58 
1101302; 307 ; 1.823 ; 497 ; -   ; -   ; 196 ; 104 ; 6 ; 9 ; 2 ; -   ; -   ; 2 ; 10 ; 16 ; 82 ; 29 ; -   ; -   ; 15 ; 70 
1101401; 314 ; 2.531 ; 540 ; 61 ; -   ; 163 ; 69 ; 6 ; 8 ; 2 ; 1 ; -   ; 2 ; 7 ; 15 ; 115 ; 50 ; 8 ; -   ; 23 ; 91 
1100148; 432 ; 2.605 ; 666 ; -   ; -   ; 340 ; 129 ; 5 ; 7 ; 1 ; -   ; -   ; 2 ; 10 ; 25 ; 117 ; 34 ; -   ; -   ; 30 ; 101 
1100338; 747 ; 5.287 ; 923 ; -   ; -   ; 640 ; 129 ; 47 ; 62 ; 3 ; -   ; -   ; 6 ; 20 ; 60 ; 229 ; 66 ; -   ; -   ; 47 ; 147 
1101435; 140 ; 1.117 ; 256 ; -   ; -   ; 129 ; 44 ; 3 ; 5 ; 1 ; -   ; -   ; 1 ; 5 ; 8 ; 49 ; 14 ; -   ; -   ; 13 ; 40 
1100502; 254 ; 1.348 ; 443 ; 115 ; -   ; 228 ; 26 ; 3 ; 5 ; 3 ; 1 ; -   ; 2 ; 4 ; 13 ; 78 ; 59 ; 13 ; -   ; 22 ; 45 
1100155; 1.521 ; 5.615 ; 1.138 ; 121 ; -   ; 899 ; 325 ; 13 ; 18 ; 5 ; 1 ; -   ; 4 ; 22 ; 54 ; 229 ; 89 ; 8 ; -   ; 55 ; 205 
1101450; 72 ; 696 ; 139 ; -   ; -   ; 11 ; 30 ; 1 ; 7 ; 2 ; -   ; -   ; 1 ; 4 ; 6 ; 42 ; 12 ; -   ; -   ; 1 ; 30 
1100189; 1.352 ; 5.673 ; 1.348 ; 341 ; 60 ; 980 ; 496 ; 13 ; 20 ; 4 ; 2 ; 2 ; 5 ; 24 ; 58 ; 240 ; 90 ; 20 ; 11 ; 54 ; 274 
1101468; 63 ; 449 ; 103 ; -   ; -   ; 15 ; 12 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 3 ; 4 ; 23 ; 27 ; -   ; -   ; 8 ; 37 
1100205; 15.480 ; 80.472 ; 17.193 ; 3.273 ; 330 ; 16.772 ; 2.715 ; 110 ; 232 ; 60 ; 9 ; 4 ; 61 ; 220 ; 746 ; 3.097 ; 1.044 ; 208 ; 26 ; 826 ; 2.648 
1100254; 712 ; 3.233 ; 664 ; -   ; -   ; 703 ; 90 ; 7 ; 15 ; 5 ; -   ; -   ; 3 ; 15 ; 43 ; 188 ; 84 ; -   ; -   ; 37 ; 126 
1101476; 108 ; 638 ; 130 ; -   ; -   ; -   ; 26 ; 3 ; 4 ; 2 ; -   ; -   ; -   ; 4 ; 11 ; 32 ; 35 ; -   ; -   ; -   ; 26 
1100262; 101 ; 669 ; 141 ; -   ; -   ; -   ; 28 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 6 ; 35 ; 12 ; -   ; -   ; -   ; 27 
1100288; 1.859 ; 8.380 ; 1.880 ; 36 ; -   ; 1.061 ; 426 ; 11 ; 22 ; 10 ; 1 ; -   ; 5 ; 27 ; 127 ; 417 ; 172 ; 9 ; -   ; 69 ; 386 
1100296; 220 ; 1.098 ; 228 ; -   ; -   ; 77 ; 48 ; 3 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 11 ; 65 ; 37 ; -   ; -   ; 21 ; 70 
1101484; 148 ; 933 ; 184 ; -   ; -   ; 69 ; 45 ; 3 ; 4 ; 2 ; -   ; -   ; 1 ; 4 ; 9 ; 51 ; 33 ; -   ; -   ; 14 ; 58 
1101492; 446 ; 3.026 ; 696 ; 76 ; -   ; 811 ; 63 ; 4 ; 11 ; 4 ; 1 ; -   ; 1 ; 9 ; 21 ; 134 ; 56 ; 13 ; -   ; 24 ; 119 
1100320; 652 ; 3.560 ; 804 ; -   ; -   ; 589 ; 105 ; 12 ; 15 ; 1 ; -   ; -   ; 2 ; 15 ; 33 ; 161 ; 45 ; -   ; -   ; 26 ; 122 
1101500; 218 ; 1.927 ; 461 ; 173 ; -   ; 223 ; 135 ; 4 ; 7 ; 1 ; 1 ; -   ; 1 ; 8 ; 10 ; 80 ; 18 ; 8 ; -   ; 11 ; 89 
1101559; 205 ; 749 ; 160 ; -   ; -   ; 52 ; 24 ; 3 ; 4 ; 1 ; -   ; -   ; 1 ; 4 ; 13 ; 35 ; 9 ; -   ; -   ; 10 ; 30 
1101609; 262 ; 1.629 ; 365 ; -   ; -   ; 141 ; 67 ; 7 ; 7 ; 1 ; -   ; -   ; 1 ; 8 ; 18 ; 90 ; 50 ; -   ; -   ; 16 ; 73 
1101708; 261 ; 1.859 ; 355 ; -   ; -   ; 252 ; 78 ; 1 ; 8 ; 1 ; -   ; -   ; 1 ; 8 ; 15 ; 86 ; 17 ; -   ; -   ; 27 ; 82 
1101757; 129 ; 1.525 ; 242 ; -   ; -   ; 183 ; 62 ; 2 ; 8 ; 1 ; -   ; -   ; 3 ; 7 ; 6 ; 71 ; 17 ; -   ; -   ; 26 ; 57 
1101807; 177 ; 1.253 ; 272 ; -   ; -   ; 28 ; 41 ; 2 ; 6 ; 1 ; -   ; -   ; 1 ; 6 ; 15 ; 58 ; 31 ; -   ; -   ; 6 ; 49 
1100304; 2.912 ; 13.956 ; 3.251 ; 795 ; 128 ; 3.017 ; 836 ; 22 ; 43 ; 12 ; 3 ; 2 ; 7 ; 47 ; 141 ; 578 ; 214 ; 125 ; 13 ; 117 ; 619 
1200013; 720 ; 2.631 ; 637 ; 68 ; -   ; 642 ; 91 ; 7 ; 11 ; 3 ; 1 ; -   ; 8 ; 9 ; 38 ; 87 ; 31 ; 6 ; -   ; 32 ; 87 
1200054; 415 ; 2.411 ; 281 ; -   ; -   ; 584 ; 102 ; 21 ; 65 ; 3 ; -   ; -   ; 10 ; 23 ; 33 ; 155 ; 20 ; -   ; -   ; 37 ; 86 
1200104; 1.215 ; 4.266 ; 1.109 ; 15 ; -   ; 1.167 ; 204 ; 18 ; 53 ; 2 ; 1 ; -   ; 9 ; 27 ; 70 ; 189 ; 47 ; 1 ; -   ; 67 ; 170 
