COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 548 ; 3.918 ; 763 ; -   ; -   ; 282 ; 171 ; 11 ; 28 ; 4 ; -   ; -   ; 2 ; 16 ; 43 ; 214 ; 73 ; -   ; -   ; 27 ; 137 
1100379; 248 ; 2.133 ; 382 ; -   ; -   ; 72 ; 78 ; 2 ; 10 ; 1 ; -   ; -   ; 2 ; 10 ; 14 ; 94 ; 43 ; -   ; -   ; 15 ; 72 
1100403; 252 ; 2.642 ; 519 ; -   ; -   ; 280 ; 105 ; 3 ; 13 ; 1 ; -   ; -   ; 2 ; 10 ; 9 ; 121 ; 29 ; -   ; -   ; 27 ; 95 
1100346; 469 ; 2.167 ; 447 ; -   ; -   ; 341 ; 213 ; 8 ; 10 ; 2 ; -   ; -   ; 2 ; 12 ; 41 ; 127 ; 29 ; -   ; -   ; 19 ; 119 
1100023; 3.647 ; 15.678 ; 3.906 ; 961 ; -   ; 2.282 ; 988 ; 26 ; 36 ; 9 ; 3 ; -   ; 11 ; 44 ; 148 ; 630 ; 261 ; 89 ; -   ; 149 ; 714 
1100452; 724 ; 5.694 ; 1.185 ; -   ; -   ; 593 ; 401 ; 11 ; 21 ; 4 ; -   ; -   ; 3 ; 18 ; 32 ; 221 ; 71 ; -   ; -   ; 34 ; 220 
1100031; 183 ; 955 ; 181 ; -   ; -   ; 55 ; 69 ; 4 ; 7 ; 2 ; -   ; -   ; 2 ; 7 ; 10 ; 59 ; 22 ; -   ; -   ; 11 ; 55 
1100601; 126 ; 881 ; 149 ; -   ; -   ; 26 ; 35 ; 3 ; 4 ; 1 ; -   ; -   ; 2 ; 4 ; 12 ; 51 ; 41 ; -   ; -   ; 11 ; 67 
1100049; 2.615 ; 12.710 ; 3.634 ; 1.288 ; -   ; 1.511 ; 848 ; 28 ; 46 ; 16 ; 5 ; -   ; 4 ; 52 ; 123 ; 546 ; 268 ; 152 ; -   ; 58 ; 644 
1100700; 366 ; 2.150 ; 365 ; -   ; -   ; 38 ; 54 ; 6 ; 7 ; 2 ; -   ; -   ; 1 ; 7 ; 14 ; 89 ; 50 ; -   ; -   ; 10 ; 82 
1100809; 971 ; 4.206 ; 563 ; -   ; -   ; 1.021 ; 128 ; 8 ; 12 ; 3 ; -   ; -   ; 6 ; 16 ; 33 ; 160 ; 38 ; -   ; -   ; 61 ; 140 
1100908; 51 ; 572 ; 107 ; -   ; -   ; 10 ; 20 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 3 ; 3 ; 29 ; 11 ; -   ; -   ; 7 ; 22 
1100056; 604 ; 2.470 ; 436 ; -   ; -   ; 376 ; 144 ; 8 ; 8 ; 2 ; -   ; -   ; 2 ; 12 ; 41 ; 109 ; 28 ; -   ; -   ; 29 ; 111 
1100924; 373 ; 1.886 ; 419 ; -   ; -   ; -   ; 48 ; 8 ; 12 ; 4 ; -   ; -   ; -   ; 7 ; 22 ; 97 ; 37 ; -   ; -   ; -   ; 84 
1100064; 553 ; 2.407 ; 976 ; 531 ; -   ; 206 ; 301 ; 11 ; 12 ; 3 ; 1 ; -   ; 2 ; 15 ; 44 ; 141 ; 100 ; 61 ; -   ; 27 ; 188 
1100072; 180 ; 1.241 ; 219 ; -   ; -   ; 65 ; 32 ; 3 ; 8 ; 3 ; -   ; -   ; 1 ; 7 ; 10 ; 63 ; 32 ; -   ; -   ; 10 ; 66 
1100080; 415 ; 2.612 ; 415 ; -   ; -   ; 304 ; 96 ; 6 ; 10 ; 2 ; -   ; -   ; 2 ; 10 ; 22 ; 120 ; 53 ; -   ; -   ; 19 ; 113 
1100940; 452 ; 3.075 ; 486 ; -   ; -   ; 272 ; 83 ; 2 ; 7 ; 1 ; -   ; -   ; 2 ; 8 ; 22 ; 122 ; 29 ; -   ; -   ; 17 ; 92 
1100098; 756 ; 4.973 ; 1.063 ; -   ; 3 ; 394 ; 361 ; 9 ; 22 ; 7 ; -   ; 1 ; 2 ; 20 ; 40 ; 204 ; 90 ; -   ; 3 ; 23 ; 209 
1101005; 204 ; 1.435 ; 305 ; -   ; -   ; 210 ; 45 ; 6 ; 12 ; 2 ; -   ; -   ; 1 ; 9 ; 12 ; 77 ; 47 ; -   ; -   ; 26 ; 83 
1100106; 1.558 ; 8.573 ; 1.623 ; 385 ; 30 ; 931 ; 178 ; 20 ; 59 ; 6 ; 1 ; 1 ; 5 ; 26 ; 81 ; 366 ; 109 ; 37 ; 3 ; 49 ; 234 
1101104; 333 ; 1.762 ; 249 ; -   ; -   ; 314 ; 78 ; 4 ; 6 ; 1 ; -   ; -   ; 2 ; 8 ; 11 ; 67 ; 43 ; -   ; -   ; 25 ; 65 
1100114; 1.760 ; 7.931 ; 1.917 ; 405 ; 48 ; 790 ; 572 ; 17 ; 24 ; 12 ; 4 ; 1 ; 6 ; 29 ; 90 ; 353 ; 195 ; 42 ; 1 ; 94 ; 347 
1100122; 3.643 ; 19.519 ; 4.988 ; 1.341 ; 185 ; 2.424 ; 842 ; 30 ; 67 ; 22 ; 5 ; 2 ; 12 ; 74 ; 172 ; 811 ; 350 ; 107 ; 13 ; 126 ; 734 
1100130; 973 ; 5.936 ; 1.022 ; -   ; -   ; 1.027 ; 303 ; 17 ; 24 ; 5 ; -   ; -   ; 2 ; 21 ; 69 ; 261 ; 62 ; -   ; -   ; 27 ; 228 
1101203; 229 ; 1.183 ; 331 ; -   ; -   ; 207 ; 40 ; 3 ; 7 ; 1 ; -   ; -   ; 2 ; 4 ; 14 ; 72 ; 44 ; -   ; -   ; 16 ; 53 
1101302; 308 ; 1.788 ; 484 ; -   ; -   ; 224 ; 111 ; 5 ; 9 ; 2 ; -   ; -   ; 2 ; 11 ; 14 ; 81 ; 25 ; -   ; -   ; 12 ; 76 
1101401; 362 ; 2.347 ; 528 ; -   ; -   ; 79 ; 75 ; 6 ; 8 ; 2 ; -   ; -   ; 1 ; 7 ; 21 ; 113 ; 51 ; -   ; -   ; 16 ; 113 
1100148; 423 ; 2.512 ; 597 ; -   ; -   ; 215 ; 114 ; 5 ; 7 ; 1 ; -   ; -   ; 1 ; 9 ; 24 ; 121 ; 45 ; -   ; -   ; 14 ; 99 
1100338; 733 ; 5.136 ; 917 ; -   ; -   ; 612 ; 129 ; 42 ; 60 ; 3 ; -   ; -   ; 6 ; 19 ; 57 ; 231 ; 57 ; -   ; -   ; 45 ; 142 
