ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2012; Norte  ; Rondônia  ;237765,24;1590011;69741;50193;285531;65762;6725;984;68518;8492;488;1168;226;33;10;305;873;2469;12447;4072;588;86;3507;8528;450,80;501,80; 477,30 ;469,40;460,00
2012; Norte  ; Acre  ;164123,964;758786;46298;29960;164690;39273;3676;1501;28723;5112;476;1536;145;12;11;389;632;1506;6973;1885;208;59;1573;4886;435,30;488,00; 466,60 ;430,80;460,00
2012; Norte  ; Amazonas  ;1559167,889;3590985;132824;126926;763248;181519;26245;4122;109900;9978;3116;5098;392;78;32;1375;1579;5606;28794;7352;1595;155;4260;9759;431,10;494,70; 466,40 ;441,20;500,00
2012; Norte  ; Roraima  ;223644,527;469524;15050;18980;92564;21055;3164;30;11077;1674;320;627;125;15;1;115;291;1047;4994;1518;324;5;985;2898;440,60;499,60; 472,50 ;451,80;480,00
2012; Norte  ; Pará  ;1245870,798;7792561;261115;273242;1519625;356554;27246;5090;257546;25084;6546;10592;729;86;55;2809;4496;12945;61326;13967;1724;307;17668;30668;443,60;504,80; 473,80 ;450,60;480,00
2012; Norte  ; Amapá  ;142470,762;698602;25769;22399;143966;39122;5695;486;24379;3709;349;697;120;20;6;211;466;1241;7003;2117;452;34;1640;5029;438,50;502,30; 472,20 ;443,20;500,00
2012; Norte  ; Tocantins  ;277466,763;1417694;39803;53294;260083;69310;9750;394;23974;10122;862;1506;304;63;5;305;1067;3240;12944;4068;863;41;2383;9343;439,60;496,20; 473,60 ;456,10;460,00
2012; Nordeste  ; Maranhão  ;329642,182;6714314;205705;329720;1305722;308440;25894;1808;179787;26009;9345;11463;1034;131;40;3660;4829;16965;65711;16613;1869;151;12802;30728;439,80;500,60; 472,00 ;449,80;460,00
2012; Nordeste  ; Piauí  ;251756,515;3160748;128901;132282;550242;155998;31311;4662;98362;11236;4008;5283;656;96;69;1417;2723;7734;31689;10558;2090;335;8264;16403;444,70;501,40; 471,80 ;454,40;460,00
2012; Nordeste  ; Ceará  ;148894,441;8606005;344999;379673;1378142;406728;56200;7042;200684;31626;6506;6872;905;186;51;2415;5193;20840;59333;17968;3454;297;10216;35042;454,40;514,80; 486,00 ;480,00;500,00
2012; Nordeste  ; Rio Grande do Norte  ;52809,602;3228198;131396;136985;510375;145943;22697;1034;88139;12298;2307;3028;442;65;18;860;2284;7636;22866;6526;1518;88;5121;15327;456,80;513,20; 485,20 ;479,50;500,00
2012; Nordeste  ; Paraíba  ;56467,242;3815171;141516;130274;620359;142326;18917;4505;144564;15211;4399;5182;535;86;33;1888;2705;7662;32320;9568;1995;221;9873;17042;450,60;511,50; 481,80 ;473,70;500,00
2012; Nordeste  ; Pernambuco  ;98067,881;8931028;281683;315878;1449834;392399;65947;12785;233249;27811;7510;8874;1196;272;59;2455;4561;16646;63614;21012;5119;920;16081;28585;458,20;517,90; 488,30 ;485,50;480,00
2012; Nordeste  ; Alagoas  ;27843,295;3165472;89961;110793;589932;131801;20270;2691;104069;13167;2205;2829;339;45;23;1292;1930;5922;22613;5229;985;127;5971;13550;446,00;504,90; 475,30 ;461,50;500,00
2012; Nordeste  ; Sergipe  ;21925,424;2110867;80385;76132;363402;81763;8000;2620;56444;5986;1597;2003;265;50;20;435;1157;3761;16428;4604;796;205;3293;7522;442,60;501,70; 472,90 ;454,90;460,00
2012; Nordeste  ; Bahia  ;564760,427;14175341;421730;483007;2322775;589072;90672;4169;438159;50800;14202;17976;1506;317;76;4675;9486;26486;112813;31831;7220;447;26896;56797;451,60;515,40; 485,50 ;469,90;500,00
2012; Sudeste  ; Minas Gerais  ;586521,123;19855332;653047;664492;2831003;848983;168655;3853;362144;94195;8635;12257;2979;851;58;3139;9302;44461;147723;55813;13290;249;28438;90060;482,80;536,60; 510,30 ;540,30;520,00
2012; Sudeste  ; Espírito Santo  ;46074,447;3578067;124939;155311;528155;137357;45897;43;72598;14929;1568;2401;443;205;2;438;2035;10688;26526;8852;3911;12;4909;21925;477,70;528,10; 499,40 ;523,80;480,00
2012; Sudeste  ; Rio de Janeiro  ;43750,427;16231365;408899;525757;2245063;603198;159082;5190;317820;48693;7168;7920;2142;567;58;1703;6353;32214;104530;42209;10969;316;20163;60840;483,80;547,40; 516,30 ;542,80;540,00
2012; Sudeste  ; São Paulo  ;248219,481;41901219;932395;1855480;5805590;1885376;386678;3432;487145;173599;16061;15436;6301;1274;30;3363;16866;115109;275749;114432;25771;156;32359;204235;479,80;540,80; 517,00 ;541,20;520,00
2012; Sul  ; Paraná  ;199298,979;10577755;280130;366068;1559820;484633;110802;2303;163762;79309;5155;6414;1882;475;37;1365;5839;25735;80963;35535;13202;246;11812;62722;477,90;532,60; 505,30 ;526,10;500,00
2012; Sul  ; Santa Catarina  ;95730,684;6383286;101115;287202;851370;254730;58257;403;75314;21296;3839;3383;973;249;8;467;3636;24159;42873;16353;5907;42;3505;35400;489,40;537,70; 505,40 ;540,90;520,00
2012; Sul  ; Rio Grande do Sul  ;281707,156;10770603;351293;312259;1463240;402506;105353;614;153717;65041;5897;6589;1461;482;26;1234;6312;25172;79438;28982;9146;123;11781;60998;474,60;524,40; 502,10 ;523,20;500,00
2012; Centro-Oeste  ; Mato Grosso do Sul  ;357145,534;2505088;133023;100211;416810;100488;16484;1740;44001;14945;1040;1136;420;95;12;266;1153;6538;19348;6913;1426;77;3241;14803;447,60;504,20; 478,90 ;475,60;460,00
2012; Centro-Oeste  ; Mato Grosso  ;903207,019;3115336;136615;122961;479239;159664;18994;1352;103105;11403;1414;2039;568;115;21;606;1345;6558;23620;9824;2271;89;6056;10773;444,80;502,10; 478,30 ;468,30;480,00
2012; Centro-Oeste  ; Goiás  ;340203,329;6154996;163170;174498;914144;262168;24654;193;62094;23594;2283;3463;903;97;2;683;2982;10907;41209;15353;1994;7;5670;28748;458,80;516,10; 491,70 ;495,70;480,00
2012; Centro-Oeste  ; Distrito Federal  ;5760,783;2648532;89563;80187;411703;111774;15297;0;52651;15114;653;849;199;39;0;135;889;4611;18041;4921;880;0;2615;15334;461,30;531,70; 505,40 ;505,10;520,00
