COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1710904; 148 ; 693 ; 111 ; -   ; -   ; 45 ; 19 ; 1 ; 5 ; 1 ; -   ; -   ; 1 ; 2 ; 3 ; 38 ; 11 ; -   ; -   ; 6 ; 24 
1711100; 66 ; 407 ; 91 ; -   ; -   ; -   ; 19 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 8 ; 23 ; 8 ; -   ; -   ; -   ; 16 
1711506; 98 ; 639 ; 113 ; -   ; -   ; -   ; 21 ; 3 ; 5 ; 1 ; -   ; -   ; -   ; 3 ; 8 ; 40 ; 6 ; -   ; -   ; -   ; 26 
1711803; 106 ; 440 ; 99 ; -   ; -   ; -   ; 8 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 5 ; 21 ; 10 ; -   ; -   ; -   ; 12 
1711902; 592 ; 2.563 ; 556 ; 160 ; -   ; 37 ; 57 ; 4 ; 15 ; 7 ; 1 ; -   ; 2 ; 8 ; 27 ; 133 ; 56 ; 12 ; -   ; 11 ; 55 
1711951; 138 ; 832 ; 201 ; -   ; -   ; 49 ; 12 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 2 ; 14 ; 46 ; 13 ; -   ; -   ; 5 ; 35 
1712009; 212 ; 674 ; 141 ; -   ; -   ; 114 ; 54 ; 2 ; 3 ; 1 ; -   ; -   ; 3 ; 4 ; 10 ; 39 ; 14 ; -   ; -   ; 22 ; 35 
1712157; 73 ; 307 ; 67 ; -   ; -   ; -   ; 25 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; 2 ; 7 ; 18 ; 8 ; -   ; -   ; -   ; 15 
1712405; 78 ; 759 ; 195 ; 42 ; -   ; 17 ; 36 ; 3 ; 7 ; 2 ; 1 ; -   ; 1 ; 4 ; 5 ; 47 ; 13 ; 9 ; -   ; 2 ; 31 
1712454; 85 ; 586 ; 137 ; -   ; 31 ; 31 ; 7 ; 3 ; 4 ; 1 ; -   ; 1 ; 1 ; 2 ; 7 ; 29 ; 10 ; -   ; 8 ; 8 ; 14 
1712504; 233 ; 780 ; 177 ; -   ; -   ; 32 ; 16 ; 4 ; 5 ; 1 ; -   ; -   ; 1 ; 5 ; 17 ; 46 ; 13 ; -   ; -   ; 9 ; 30 
1712702; 76 ; 542 ; 131 ; -   ; -   ; 26 ; 13 ; 1 ; 6 ; 1 ; -   ; -   ; 2 ; 2 ; 4 ; 32 ; 12 ; -   ; -   ; 10 ; 19 
1712801; 80 ; 728 ; 148 ; -   ; -   ; -   ; 28 ; 2 ; 4 ; 1 ; -   ; -   ; -   ; 4 ; 4 ; 33 ; 9 ; -   ; -   ; -   ; 26 
1713205; 672 ; 3.522 ; 786 ; -   ; -   ; 543 ; 251 ; 15 ; 20 ; 3 ; -   ; -   ; 5 ; 17 ; 79 ; 185 ; 50 ; -   ; -   ; 41 ; 163 
1713304; 328 ; 2.231 ; 450 ; 17 ; -   ; 162 ; 116 ; 8 ; 10 ; 1 ; 1 ; -   ; 3 ; 9 ; 23 ; 103 ; 21 ; 10 ; -   ; 17 ; 79 
1713601; 146 ; 1.066 ; 233 ; 124 ; -   ; 21 ; 47 ; 1 ; 6 ; 2 ; 1 ; -   ; 1 ; 7 ; 12 ; 74 ; 19 ; 10 ; -   ; 4 ; 61 
1713700; 59 ; 412 ; -   ; -   ; -   ; -   ; 3 ; 6 ; 6 ; -   ; -   ; -   ; -   ; 2 ; 4 ; 34 ; -   ; -   ; -   ; -   ; 5 
1713957; 66 ; 599 ; 148 ; -   ; -   ; 64 ; 23 ; 2 ; 7 ; 1 ; -   ; -   ; 1 ; 5 ; 6 ; 32 ; 13 ; -   ; -   ; 13 ; 25 
1714203; 273 ; 1.572 ; 352 ; 171 ; -   ; 133 ; 71 ; 5 ; 10 ; 1 ; 1 ; -   ; 2 ; 10 ; 16 ; 98 ; 17 ; 10 ; -   ; 12 ; 76 
