ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2013; Norte  ; Rondônia  ;237765,24;1728214;83101;52470;279837;65015;9048;296;65642;8510;504;1130;227;37;5;284;863;2584;12498;4168;786;28;3452;8667;446,70;507,40;474,30; 480,10 ;480,00
2013; Norte  ; Acre  ;164123,964;776463;58355;32264;163294;41693;3192;1008;28382;6435;479;1499;165;13;11;423;827;1654;7082;2034;246;58;1575;5617;433,05;493,65;461,40; 451,70 ;500,00
2013; Norte  ; Amazonas  ;1559167,889;3807921;155440;133388;753423;185228;25273;3089;98810;10152;3200;5065;395;80;32;1475;1581;5921;30298;6976;1580;231;4501;10912;438,50;490,40;463,80; 457,60 ;520,00
2013; Norte  ; Roraima  ;223644,527;488072;19707;17465;95158;21916;4000;0;9797;1824;333;648;129;16;0;111;295;1050;5520;1771;353;0;967;3396;440,50;496,70;468,50; 461,90 ;500,00
2013; Norte  ; Pará  ;1245870,798;7969654;330029;285468;1511973;355976;30819;5058;254142;28283;6728;10339;742;128;64;2832;4815;14280;63175;14222;2117;330;17923;34111;442,40;504,00;473,00; 466,30 ;500,00
2013; Norte  ; Amapá  ;142470,762;734996;41911;23951;140874;37536;5577;276;23251;3641;369;710;124;22;6;245;459;1339;7062;2175;508;33;1760;4982;438,50;495,80;470,30; 457,10 ;520,00
2013; Norte  ; Tocantins  ;277466,763;1478164;57521;56438;255039;71158;10989;336;22489;9706;864;1429;312;63;8;323;1035;3552;12620;4408;960;52;2443;9243;439,50;497,30;463,90; 472,30 ;480,00
2013; Nordeste  ; Maranhão  ;329642,182;6794301;234183;343518;1287895;308815;27517;2174;185991;26934;9132;11113;1033;127;49;3773;5010;18452;66690;17229;2097;177;13190;32858;440,30;499,40;471,10; 467,20 ;500,00
2013; Nordeste  ; Piauí  ;251756,515;3184166;168473;136801;533279;148150;32108;4658;98368;11619;3778;4765;638;116;67;1399;2664;8159;30968;10289;2520;319;8221;17350;439,80;501,10;469,40; 472,00 ;480,00
2013; Nordeste  ; Ceará  ;148894,441;8778576;495094;384190;1334512;400014;63081;10999;187333;31965;6284;6613;909;190;126;2264;5169;21868;59633;19495;3824;642;10096;37428;444,10;497,90;476,40; 483,60 ;520,00
2013; Nordeste  ; Rio Grande do Norte  ;52809,602;3373959;167678;140240;501937;141532;26227;3111;90531;12829;2294;2943;436;67;60;923;2276;7791;22557;6620;1637;306;5454;15419;451,30;511,70;485,70; 488,80 ;520,00
