COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
1100015; 538 ; 3.944 ; 1.018 ; -   ; -   ; 535 ; 150 ; 9 ; 34 ; 2 ; -   ; -   ; 2 ; 19 ; 45 ; 234 ; 63 ; -   ; -   ; 47 ; 152 
1100379; 180 ; 2.200 ; 489 ; -   ; -   ; 71 ; 82 ; 2 ; 10 ; 1 ; -   ; -   ; 2 ; 10 ; 9 ; 107 ; 25 ; -   ; -   ; 20 ; 80 
1100403; 196 ; 3.006 ; 643 ; -   ; -   ; 347 ; 95 ; 3 ; 15 ; 1 ; -   ; -   ; 2 ; 11 ; 7 ; 135 ; 21 ; -   ; -   ; 23 ; 92 
1100346; 414 ; 2.364 ; 641 ; -   ; -   ; 364 ; 138 ; 9 ; 11 ; 2 ; -   ; -   ; 2 ; 11 ; 43 ; 150 ; 39 ; -   ; -   ; 33 ; 114 
1100023; 3.144 ; 16.221 ; 4.153 ; 1.056 ; 45 ; 3.447 ; 863 ; 25 ; 35 ; 8 ; 2 ; 1 ; 16 ; 45 ; 131 ; 688 ; 236 ; 70 ; 4 ; 211 ; 688 
1100452; 733 ; 6.298 ; 1.264 ; -   ; -   ; 957 ; 364 ; 11 ; 35 ; 4 ; -   ; -   ; 4 ; 22 ; 29 ; 243 ; 85 ; -   ; -   ; 58 ; 195 
1100031; 219 ; 966 ; 221 ; -   ; -   ; 129 ; 42 ; 4 ; 6 ; 2 ; -   ; -   ; 1 ; 5 ; 10 ; 59 ; 23 ; -   ; -   ; 11 ; 39 
1100601; 116 ; 933 ; 212 ; -   ; -   ; 60 ; 37 ; 2 ; 4 ; 1 ; -   ; -   ; 3 ; 5 ; 7 ; 50 ; 19 ; -   ; -   ; 9 ; 44 
1100049; 2.598 ; 12.675 ; 4.009 ; 1.718 ; 115 ; 2.137 ; 802 ; 25 ; 47 ; 17 ; 5 ; 1 ; 4 ; 51 ; 125 ; 560 ; 241 ; 176 ; 13 ; 61 ; 617 
1100700; 233 ; 2.308 ; 411 ; -   ; -   ; 185 ; 44 ; 2 ; 8 ; 2 ; -   ; -   ; 2 ; 7 ; 9 ; 105 ; 31 ; -   ; -   ; 18 ; 65 
