ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2011; Norte  ; Rondônia  ;237765,24;1576455;60692;49327;289690;65424;6047;394;69584;7860;454;1194;223;31;9;312;861;2272;12343;3960;502;78;3556;7952;448,20;461,90 ;510,50 ;474,50 ;500,00 
2011; Norte  ; Acre  ;164123,964;746386;38489;29191;166328;38502;1551;15;24620;4745;462;1552;124;6;1;389;583;1472;6980;1746;71;1;1259;4370;426,00;447,90 ;499,70 ;439,10 ;520,00 
2011; Norte  ; Amazonas  ;1559167,889;3538387;131534;123453;767123;169842;21889;505;92682;8142;3111;5118;418;74;19;1409;1410;5401;28664;7386;1342;60;4120;7769;427,40;443,65 ;495,70 ;445,40 ;540,00 
2011; Norte  ; Roraima  ;223644,527;460165;16413;18293;93607;19757;3255;92;11805;1362;320;607;113;15;4;101;248;1040;4832;1311;290;21;830;2569;435,00;453,20 ;502,50 ;455,30 ;520,00 
2011; Norte  ; Pará  ;1245870,798;7688593;240132;260638;1536205;352602;20785;1137;260225;22608;6327;10705;702;74;32;2772;4210;11915;59007;13143;1448;189;17030;27026;443,70;465,40 ;507,50 ;459,20 ;540,00 
2011; Norte  ; Amapá  ;142470,762;684309;22977;21800;143273;37983;4372;71;25044;3336;354;690;111;20;2;210;441;1171;7063;1962;406;11;1594;4502;439,10;461,65 ;506,70 ;450,20 ;540,00 
2011; Norte  ; Tocantins  ;277466,763;1400892;43171;50756;265822;70520;10056;0;20420;9878;867;1558;287;51;0;308;1039;2910;13209;4073;794;0;2192;8898;432,20;448,80 ;497,20 ;453,70 ;520,00 
2011; Nordeste  ; Maranhão  ;329642,182;6645761;211307;327954;1335930;312192;23394;761;192083;25681;9419;11753;1123;143;20;3922;4541;16152;65550;17277;1904;84;13272;26903;434,00;450,90 ;503,30 ;451,00 ;540,00 
2011; Nordeste  ; Piauí  ;251756,515;3140328;116266;131467;566315;162027;28479;2028;99129;11074;4040;5497;674;83;67;1502;2591;7420;32644;11050;1810;269;8602;15194;439,50;456,70 ;505,40 ;456,60 ;520,00 
2011; Nordeste  ; Ceará  ;148894,441;8530155;300294;372357;1425749;412586;49569;2412;190663;31141;6608;7003;882;172;27;2451;4987;19465;57960;17130;3073;155;9074;31186;455,80;471,30 ;522,70 ;487,40 ;540,00 
2011; Nordeste  ; Rio Grande do Norte  ;52809,602;3198657;116761;135164;523232;148561;22407;1258;93426;11386;2294;3063;436;69;37;930;2229;7376;23329;6533;1361;131;5398;14808;445,90;464,90 ;514,60 ;471,60 ;520,00 
2011; Nordeste  ; Paraíba  ;56467,242;3791315;123889;127138;642093;143125;16862;232;143174;13884;4498;5492;559;74;12;1910;2587;7120;33014;9441;1680;44;9336;14517;447,60;465,00 ;516,80 ;475,10 ;540,00 
2011; Nordeste  ; Pernambuco  ;98067,881;8864906;269063;309988;1482659;408613;65125;8055;236555;26643;7464;8970;1190;279;7;2455;4229;16297;63755;21190;5116;668;15726;25501;451,50;468,90 ;520,60 ;484,20 ;540,00 
2011; Nordeste  ; Alagoas  ;27843,295;3143384;74218;104458;613016;134045;16489;420;110469;11811;2193;2871;330;44;5;1342;1815;5414;22957;5442;1015;31;6059;12262;437,40;457,00 ;509,00 ;460,70 ;520,00 
2011; Nordeste  ; Sergipe  ;21925,424;2089819;57093;74970;369911;81971;8771;981;56617;5485;1616;2028;267;52;13;464;1092;3670;16510;4493;912;160;3320;6498;434,80;456,20 ;503,60 ;450,50 ;520,00 
2011; Nordeste  ; Bahia  ;564760,427;14097534;424820;457473;2374231;598510;78437;1130;449497;45853;13999;17952;1481;299;18;5009;8692;24479;110714;30002;6127;101;26328;46832;442,80;463,90 ;511,20 ;463,50 ;540,00 
2011; Sudeste  ; Minas Gerais  ;586521,123;19728701;608660;624268;2929569;861022;194056;1723;378733;86504;8584;12479;2975;1186;55;3164;8704;41028;150815;56829;17310;240;29860;77592;483,00;496,00 ;540,00 ;547,30 ;560,00 
2011; Sudeste  ; Espírito Santo  ;46074,447;3547055;127812;150562;536595;135803;42691;148;70388;13482;1532;2442;442;190;4;454;1987;9555;25260;8078;3449;29;4665;18971;473,00;484,60 ;531,30 ;529,20 ;540,00 
2011; Sudeste  ; Rio de Janeiro  ;43750,427;16112678;336140;502658;2289349;609829;139155;907;355452;44804;6984;7850;2126;511;22;1710;6079;29419;103358;41872;9846;173;21645;54893;486,90;502,70 ;550,50 ;547,30 ;560,00 
2011; Sudeste  ; São Paulo  ;248219,481;41587182;908124;1757241;5926923;1873180;366950;96;517628;167152;15742;15304;6157;1295;3;3634;16298;105247;264674;110349;24891;11;35001;186401;478,90;492,70 ;544,50 ;542,20 ;560,00 
2011; Sul  ; Paraná  ;199298,979;10512349;255671;343581;1600040;481962;112208;760;143838;58381;4992;6414;1836;456;16;1023;5449;23467;79266;34521;13052;167;10548;55770;477,80;488,80 ;535,30 ;535,50 ;540,00 
2011; Sul  ; Santa Catarina  ;95730,684;6317054;83480;274741;865771;250791;54179;370;98601;19708;3790;3435;966;237;15;530;3623;21889;41874;15401;5584;56;3899;32665;490,90;499,10 ;542,00 ;559,90 ;560,00 
2011; Sul  ; Rio Grande do Sul  ;281707,156;10733030;330463;293412;1503344;404940;107507;1216;156234;58785;5761;6657;1454;487;47;1217;6051;22976;79157;27960;8600;211;11310;54930;472,60;483,90 ;534,10 ;530,60 ;560,00 
2011; Centro-Oeste  ; Mato Grosso do Sul  ;357145,534;2477542;122626;92587;426625;100250;13094;0;51332;14398;1015;1142;422;80;0;326;1118;5700;19541;7087;1191;0;4032;14433;451,00;463,90 ;513,40 ;485,45 ;520,00 
2011; Centro-Oeste  ; Mato Grosso  ;903207,019;3075936;132923;119451;484536;153516;16612;216;108136;11619;1382;2067;567;92;9;611;1266;6002;23468;9586;1902;37;6168;9658;447,00;461,40 ;510,80 ;476,10 ;520,00 
2011; Centro-Oeste  ; Goiás  ;340203,329;6080716;152701;167920;914290;264689;21315;220;70855;21414;2247;3488;908;82;4;719;2925;10221;42500;16138;1743;19;6525;28435;460,70;474,50 ;524,30 ;500,60 ;540,00 
2011; Centro-Oeste  ; Distrito Federal  ;5760,783;2609998;75137;82954;418250;109587;13241;0;55338;15169;658;853;200;36;0;142;868;4975;17683;4849;804;0;2692;15055;464,20;488,40 ;534,60 ;501,60 ;540,00 
