ano;Região Geográfica;Unidade da Federação;Área Territorial - km²;Pop_estimada;Inc_ENEM;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;Mediana_CN;Mediana_CH;Mediana_LN;Mediana_MT;Mediana_RD
2010; Norte  ; Rondônia  ;237765,24;1560501;51515;47174;293177;61628;5005;172;78240;6732;415;1267;220;29;4;322;806;2151;12224;3600;362;24;3510;6575;468,80;538,30 ;494,00 ;468,70 ;550,00 
2010; Norte  ; Acre  ;164123,964;732793;15484;27726;166200;36295;1776;0;24786;4296;437;1560;123;5;0;353;525;1353;6961;1679;60;0;1253;3868;448,40;523,50 ;483,00 ;436,40 ;575,00 
2010; Norte  ; Amazonas  ;1559167,889;3480937;124845;122207;771963;162113;17887;113;91401;8366;2949;5083;411;59;2;1357;1187;5106;27756;6888;1018;7;3850;6592;448,50;517,00 ;479,60 ;442,30 ;600,00 
2010; Norte  ; Roraima  ;223644,527;451227;14827;16847;91556;18463;3267;172;13494;1065;319;623;111;14;4;131;216;913;4587;1279;314;25;921;1909;454,10;524,35 ;483,25 ;451,20 ;575,00 
2010; Norte  ; Pará  ;1245870,798;7603239;164882;254037;1553080;356885;18116;415;269972;19459;6196;10887;691;51;13;2799;3631;11146;56958;12492;1131;60;16519;21936;468,40;542,80 ;499,50 ;459,70 ;600,00 
2010; Norte  ; Amapá  ;142470,762;668689;14431;21580;144597;37871;3701;15;23809;3038;350;702;109;19;1;216;422;1186;7031;1880;346;6;1565;4000;453,70;532,30 ;495,30 ;450,70 ;600,00 
2010; Norte  ; Tocantins  ;277466,763;1383453;28407;49106;270517;65678;8912;0;23985;8808;891;1610;282;47;0;322;962;2800;13333;3894;711;0;2363;7721;457,90;526,35 ;486,70 ;452,40 ;575,00 
2010; Nordeste  ; Maranhão  ;329642,182;6569683;167451;327414;1363049;318324;24554;1053;199492;22521;9247;11976;1117;178;33;4138;3896;15531;65420;17320;2007;96;13487;21799;459,40;527,00 ;486,60 ;448,40 ;600,00 
2010; Nordeste  ; Piauí  ;251756,515;3119015;83933;129588;581204;167418;27695;696;105136;10076;4068;5737;665;63;22;1622;2197;7046;32485;11031;1717;131;8861;11891;465,20;528,50 ;489,60 ;447,10 ;575,00 
2010; Nordeste  ; Ceará  ;148894,441;8448055;208646;372657;1485827;411176;43398;3281;185694;30819;7048;7482;851;148;39;2623;4731;19365;58761;16657;2633;209;8802;27462;477,40;540,90 ;509,80 ;480,70 ;600,00 
2010; Nordeste  ; Rio Grande do Norte  ;52809,602;3168133;92458;138461;536486;149524;19612;531;93934;9526;2380;3109;436;59;18;995;2019;7403;23556;6482;1175;66;5226;12867;471,40;535,90 ;498,30 ;468,40 ;600,00 
2010; Nordeste  ; Paraíba  ;56467,242;3766834;95008;122294;661105;146876;17613;97;141212;11617;4602;5649;555;74;5;1878;2211;6712;33529;9303;1664;21;9148;11111;471,00;535,40 ;502,50 ;467,40 ;600,00 
2010; Nordeste  ; Pernambuco  ;98067,881;8796032;228095;299966;1501732;429476;59477;682;249643;23499;7543;9247;1188;276;12;2679;3624;15639;65411;22571;5073;66;16491;20686;475,60;542,90 ;509,60 ;482,20 ;600,00 
2010; Nordeste  ; Alagoas  ;27843,295;3120922;44212;99641;630889;130247;14102;97;98824;9933;2166;2925;324;38;2;1333;1650;4944;22932;5302;862;15;5230;10128;454,75;523,10 ;486,00 ;452,80 ;600,00 
