COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial
5208608; 3.115 ; 9.000 ; 2.765 ; 620 ; -   ; 684 ; 546 ; 32 ; 35 ; 7 ; 4 ; -   ; 8 ; 37 ; 143 ; 376 ; 141 ; 51 ; -   ; 50 ; 355 
5208707; 48.814 ; 157.022 ; 49.696 ; 7.957 ; -   ; 13.049 ; 6.238 ; 549 ; 535 ; 157 ; 22 ; -   ; 110 ; 572 ; 3.394 ; 8.265 ; 2.910 ; 532 ; -   ; 1.100 ; 7.372 
5208806; 2.180 ; 9.060 ; 1.856 ; -   ; -   ; 301 ; 269 ; 17 ; 17 ; 3 ; -   ; -   ; 2 ; 16 ; 120 ; 334 ; 76 ; -   ; -   ; 22 ; 220 
5208905; 845 ; 2.552 ; 815 ; 222 ; -   ; 219 ; 106 ; 18 ; 24 ; 7 ; 2 ; -   ; 3 ; 18 ; 72 ; 190 ; 103 ; 47 ; -   ; 32 ; 154 
5209101; 1.315 ; 4.441 ; 1.057 ; 237 ; -   ; 352 ; 239 ; 19 ; 20 ; 6 ; 1 ; -   ; 3 ; 21 ; 70 ; 196 ; 92 ; 14 ; -   ; 41 ; 187 
5209150; 257 ; 630 ; 141 ; -   ; -   ; 44 ; 27 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 4 ; 15 ; 36 ; 13 ; -   ; -   ; 7 ; 30 
5209200; 690 ; 2.133 ; 420 ; -   ; -   ; 155 ; 105 ; 5 ; 9 ; 3 ; -   ; -   ; 3 ; 12 ; 38 ; 106 ; 35 ; -   ; -   ; 21 ; 111 
5209291; 58 ; 227 ; 61 ; -   ; -   ; 35 ; 11 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 2 ; 4 ; 21 ; 11 ; -   ; -   ; 9 ; 18 
5209408; 142 ; 610 ; 185 ; -   ; -   ; 44 ; 38 ; 4 ; 7 ; 1 ; -   ; -   ; 1 ; 6 ; 7 ; 40 ; 14 ; -   ; -   ; 9 ; 44 
5209457; 36 ; 218 ; 82 ; -   ; -   ; 21 ; 10 ; 2 ; 4 ; 1 ; -   ; -   ; 1 ; 2 ; 4 ; 25 ; 9 ; -   ; -   ; 8 ; 14 
5209606; 143 ; 462 ; 119 ; -   ; -   ; 11 ; 35 ; 2 ; 3 ; 1 ; -   ; -   ; 1 ; 4 ; 13 ; 27 ; 9 ; -   ; -   ; 7 ; 22 
5209705; 1.260 ; 3.106 ; 703 ; 179 ; -   ; 314 ; 118 ; 7 ; 11 ; 4 ; 1 ; -   ; 6 ; 12 ; 48 ; 115 ; 63 ; 21 ; -   ; 36 ; 108 
5209804; 103 ; 390 ; 149 ; -   ; -   ; 15 ; 30 ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; 3 ; 5 ; 25 ; 20 ; -   ; -   ; 9 ; 29 
5209903; 469 ; 1.849 ; 545 ; -   ; -   ; 161 ; 121 ; 10 ; 14 ; 2 ; -   ; -   ; 2 ; 13 ; 31 ; 100 ; 37 ; -   ; -   ; 26 ; 99 
5209937; 307 ; 867 ; 231 ; -   ; -   ; 107 ; 51 ; 3 ; 3 ; 1 ; -   ; -   ; 2 ; 3 ; 26 ; 44 ; 18 ; -   ; -   ; 14 ; 38 
5209952; 677 ; 1.786 ; 631 ; 79 ; -   ; 102 ; 83 ; 5 ; 9 ; 1 ; 1 ; -   ; 2 ; 8 ; 42 ; 80 ; 21 ; 5 ; -   ; 11 ; 68 
5210000; 1.980 ; 6.319 ; 2.164 ; 333 ; 69 ; 412 ; 405 ; 23 ; 28 ; 7 ; 1 ; 1 ; 3 ; 34 ; 139 ; 327 ; 182 ; 63 ; 4 ; 50 ; 332 
5210109; 1.261 ; 3.313 ; 820 ; 291 ; 61 ; 358 ; 164 ; 14 ; 16 ; 6 ; 2 ; 1 ; 3 ; 22 ; 87 ; 172 ; 90 ; 26 ; 6 ; 24 ; 166 
5210158; 87 ; 260 ; 52 ; -   ; -   ; -   ; 5 ; 2 ; 3 ; 1 ; -   ; -   ; -   ; 3 ; 6 ; 29 ; 5 ; -   ; -   ; -   ; 18 
