COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
1100015;594;3.964;837; -   ; -   ;416;145;9;31;4; -   ; -   ;2;17;51;211;82; -   ; -   ;38;149; -   ; 1.014 ; 1.356 ; -   ; -   ; 1.072 ; 522 ; -   ; 103 ; -   ; 118 ; -   ; 37 ; -   ; -   ; 14 ; 15 ; -   ; -   ; 7 ; 8 ; -   
1100379;223;2.146;418; -   ; -   ;52;75;3;10;1; -   ; -   ;2;10;13;98;39; -   ; -   ;15;71; -   ; 82 ; 1.084 ; 5 ; -   ; 253 ; 722 ; -   ; 51 ; -   ; 50 ; 1 ; 3 ; 1 ; -   ; 2 ; 7 ; 1 ; -   ; 1 ; 6 ; -   
1100403;221;2.730;545; -   ; -   ;322;83;3;13;1; -   ; -   ;2;11;10;129;26; -   ; -   ;25;89; -   ; 177 ; 1.397 ; -   ; -   ; 559 ; 597 ; -   ; 67 ; -   ; 68 ; -   ; 2 ; -   ; -   ; 1 ; 11 ; -   ; -   ; 2 ; 8 ; -   
1100346;415;2.255;459; -   ; -   ;340;169;9;11;2; -   ; -   ;2;15;36;127;27; -   ; -   ;23;122; -   ; 288 ; 976 ; -   ; -   ; 520 ; 471 ; -   ; 69 ; -   ; 73 ; -   ; 2 ; -   ; -   ; 2 ; 8 ; -   ; -   ; 3 ; 7 ; -   
1100023;3.470;15.867;3.995;791;24;2.595;875;25;37;9;2;1;12;46;138;638;259;73;1;169;700; -   ; 1.235 ; 7.030 ; 1.171 ; -   ; 4.117 ; 1.806 ; 508 ; 325 ; 59 ; 286 ; 49 ; 21 ; -   ; -   ; 5 ; 21 ; 6 ; -   ; 10 ; 13 ; 5 
1100452;720;5.899;1.104; -   ; -   ;505;340;12;28;4; -   ; -   ;4;18;29;231;74; -   ; -   ;46;209; -   ; -   ; 3.167 ; 110 ; -   ; 2.014 ; 608 ; -   ; 104 ; 9 ; 124 ; -   ; 13 ; -   ; -   ; -   ; 22 ; 2 ; -   ; 4 ; 5 ; -   
1100031;167;949;180; -   ; -   ;52;61;4;6;2; -   ; -   ;2;5;10;57;19; -   ; -   ;9;43; -   ; -   ; 596 ; -   ; -   ; 353 ; -   ; -   ; 34 ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 3 ; -   ; -   
1100601;120;908;212; -   ; -   ;31;36;3;4;1; -   ; -   ;2;5;10;50;36; -   ; -   ;7;43; -   ; -   ; 507 ; -   ; -   ; 303 ; 98 ; -   ; 27 ; -   ; 27 ; -   ; 4 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 2 ; -   
1100049;2.445;12.681;3.584;1.377;158;1.655;896;28;44;17;5;2;4;50;119;534;259;144;23;71;629; -   ; 2.140 ; 3.764 ; 1.324 ; -   ; 3.355 ; 1.198 ; 900 ; 214 ; 75 ; 216 ; 80 ; 36 ; -   ; -   ; 17 ; 17 ; 6 ; -   ; 16 ; 11 ; 6 
1100700;309;2.170;345; -   ; -   ;91;60;6;7;2; -   ; -   ;1;8;12;88;41; -   ; -   ;11;80; -   ; -   ; 1.286 ; -   ; -   ; 563 ; 321 ; -   ; 55 ; -   ; 45 ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 2 ; 3 ; -   
1100809;939;4.173;709; -   ; -   ;1.187;130;8;12;3; -   ; -   ;7;15;32;149;43; -   ; -   ;65;125; -   ; 402 ; 2.179 ; -   ; -   ; 1.079 ; 513 ; -   ; 79 ; -   ; 84 ; -   ; 15 ; -   ; -   ; 3 ; 7 ; -   ; -   ; 4 ; 2 ; -   
1100908;62;585;134; -   ; -   ;22;18;2;3;1; -   ; -   ;1;3;4;31;9; -   ; -   ;7;21; -   ; -   ; 340 ; -   ; -   ; 66 ; 179 ; -   ; 15 ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 2 ; -   
1100056;615;2.441;474; -   ; -   ;361;151;11;11;2; -   ; -   ;2;14;41;115;28; -   ; -   ;26;115; -   ; 355 ; 1.001 ; 48 ; -   ; 995 ; -   ; 42 ; 65 ; 6 ; 39 ; 11 ; 6 ; 1 ; -   ; 1 ; 6 ; 2 ; -   ; 2 ; -   ; 2 
1100924;403;1.933;420; -   ; -   ; -   ;28;8;12;2; -   ; -   ; -   ;7;17;99;42; -   ; -   ; -   ;61; -   ; -   ; 1.129 ; -   ; -   ; 603 ; 201 ; -   ; 53 ; -   ; 58 ; -   ; 13 ; -   ; -   ; -   ; 10 ; -   ; -   ; 2 ; 5 ; -   
1100064;514;2.545;957;483; -   ;252;266;6;13;3;1; -   ;2;15;40;156;98;59; -   ;27;194; -   ; -   ; 1.363 ; 89 ; -   ; 847 ; 246 ; -   ; 71 ; 7 ; 76 ; 4 ; 7 ; 4 ; -   ; -   ; 9 ; 2 ; -   ; 2 ; 5 ; -   
1100072;172;1.307;203; -   ; -   ;96;29;3;7;3; -   ; -   ;2;6;9;68;39; -   ; -   ;14;39; -   ; 83 ; 615 ; -   ; -   ; 473 ; 136 ; -   ; 33 ; -   ; 36 ; -   ; 6 ; -   ; -   ; 2 ; 4 ; -   ; -   ; 3 ; 2 ; -   
1100080;426;2.696;474; -   ; -   ;341;147;6;10;2; -   ; -   ;2;10;24;128;44; -   ; -   ;20;101; -   ; 147 ; 1.409 ; -   ; -   ; 752 ; 388 ; -   ; 69 ; -   ; 59 ; -   ; 6 ; -   ; -   ; 1 ; 7 ; -   ; -   ; 3 ; 3 ; -   
1100940;503;3.117;481; -   ; -   ;305;52;2;7;1; -   ; -   ;2;8;24;115;25; -   ; -   ;22;79; -   ; -   ; 1.699 ; 108 ; -   ; 386 ; 918 ; 6 ; 57 ; 11 ; 65 ; 6 ; 3 ; -   ; -   ; -   ; 5 ; 1 ; -   ; 1 ; 4 ; 1 
1100098;762;4.976;1.198; -   ; -   ;379;382;9;23;4; -   ; -   ;2;20;38;201;80; -   ; -   ;20;212; -   ; 1.227 ; 1.527 ; 120 ; -   ; 1.348 ; 686 ; 68 ; 102 ; 8 ; 100 ; 13 ; 12 ; -   ; -   ; 12 ; 8 ; 2 ; -   ; 7 ; 5 ; 1 
1101005;157;1.528;365; -   ; -   ;163;36;3;12;2; -   ; -   ;1;8;12;91;42; -   ; -   ;15;53; -   ; 12 ; 837 ; -   ; -   ; 395 ; 284 ; -   ; 39 ; -   ; 59 ; -   ; 17 ; -   ; -   ; 4 ; 6 ; -   ; -   ; 2 ; 5 ; -   
1100106;1.422;8.613;1.840;489; -   ;1.260;198;19;60;8;2; -   ;4;26;83;346;124;31; -   ;46;226; -   ; 1.382 ; 3.434 ; 419 ; -   ; 3.197 ; -   ; 181 ; 157 ; 29 ; 143 ; 37 ; 72 ; -   ; -   ; 30 ; 19 ; 5 ; -   ; 22 ; -   ; 3 
1101104;320;1.820;252; -   ; -   ;495;83;4;7;1; -   ; -   ;2;9;11;74;17; -   ; -   ;24;71; -   ; -   ; 1.181 ; -   ; -   ; 639 ; -   ; -   ; 46 ; -   ; 32 ; -   ; 12 ; -   ; -   ; -   ; 5 ; -   ; -   ; 2 ; -   ; -   
1100114;1.771;8.005;2.088;294;32;822;575;18;26;11;3;1;7;31;87;399;177;27;3;89;382; -   ; 1.033 ; 3.233 ; 259 ; -   ; 2.950 ; 420 ; 110 ; 201 ; 22 ; 189 ; 29 ; 16 ; 12 ; -   ; 7 ; 12 ; 4 ; -   ; 9 ; 7 ; 3 
1100122;3.315;19.573;4.871;1.443;131;3.140;770;30;66;22;5;1;13;70;160;818;369;97;8;162;709; -   ; 6.277 ; 3.962 ; 1.123 ; -   ; 7.089 ; 570 ; 552 ; 420 ; 62 ; 346 ; 48 ; 32 ; -   ; -   ; 33 ; 18 ; 9 ; -   ; 27 ; 8 ; 4 
1100130;891;6.116;975; -   ; -   ;1.062;299;16;26;4; -   ; -   ;4;23;55;267;55; -   ; -   ;33;230; -   ; 292 ; 3.241 ; 114 ; -   ; 1.864 ; 550 ; 55 ; 170 ; 13 ; 111 ; 12 ; -   ; -   ; -   ; 1 ; 20 ; 2 ; -   ; 3 ; 8 ; 1 
1101203;188;1.280;338; -   ; -   ;58;41;3;7;1; -   ; -   ;2;6;13;78;37; -   ; -   ;7;58; -   ; 167 ; 553 ; -   ; -   ; 232 ; 328 ; -   ; 38 ; -   ; 46 ; -   ; 1 ; -   ; -   ; 2 ; 5 ; -   ; -   ; 1 ; 4 ; -   
1101302;307;1.823;497; -   ; -   ;196;104;6;9;2; -   ; -   ;2;10;16;82;29; -   ; -   ;15;70; -   ; 31 ; 858 ; 62 ; -   ; 645 ; 113 ; 114 ; 32 ; 8 ; 44 ; 8 ; 12 ; -   ; -   ; 1 ; 5 ; 1 ; -   ; 3 ; 2 ; 1 
1101401;314;2.531;540;61; -   ;163;69;6;8;2;1; -   ;2;7;15;115;50;8; -   ;23;91; -   ; 228 ; 1.088 ; 60 ; -   ; 788 ; 367 ; -   ; 63 ; 4 ; 65 ; -   ; 1 ; -   ; -   ; 1 ; 5 ; 1 ; -   ; 2 ; 3 ; -   
1100148;432;2.605;666; -   ; -   ;340;129;5;7;1; -   ; -   ;2;10;25;117;34; -   ; -   ;30;101; -   ; 351 ; 1.058 ; -   ; -   ; 592 ; 604 ; -   ; 69 ; -   ; 54 ; -   ; 2 ; -   ; -   ; 2 ; 5 ; -   ; -   ; 2 ; 4 ; -   
1100338;747;5.287;923; -   ; -   ;640;129;47;62;3; -   ; -   ;6;20;60;229;66; -   ; -   ;47;147; -   ; 424 ; 2.628 ; 88 ; -   ; 1.473 ; 622 ; 52 ; 113 ; 8 ; 119 ; 8 ; 36 ; -   ; -   ; 8 ; 51 ; 1 ; -   ; 6 ; 6 ; 1 
1101435;140;1.117;256; -   ; -   ;129;44;3;5;1; -   ; -   ;1;5;8;49;14; -   ; -   ;13;40; -   ; -   ; 646 ; -   ; -   ; 219 ; 252 ; -   ; 25 ; -   ; 30 ; -   ; 1 ; -   ; -   ; -   ; 4 ; -   ; -   ; 1 ; 3 ; -   
1100502;254;1.348;443;115; -   ;228;26;3;5;3;1; -   ;2;4;13;78;59;13; -   ;22;45; -   ; 158 ; 584 ; -   ; -   ; 466 ; 140 ; -   ; 37 ; -   ; 45 ; -   ; 4 ; -   ; -   ; 2 ; 2 ; -   ; -   ; 2 ; 2 ; -   
1100155;1.521;5.615;1.138;121; -   ;899;325;13;18;5;1; -   ;4;22;54;229;89;8; -   ;55;205; -   ; 111 ; 2.999 ; 187 ; -   ; 2.045 ; 181 ; 92 ; 111 ; 17 ; 104 ; 10 ; 5 ; -   ; -   ; 1 ; 9 ; 3 ; -   ; 6 ; 2 ; 1 
1101450;72;696;139; -   ; -   ;11;30;1;7;2; -   ; -   ;1;4;6;42;12; -   ; -   ;1;30; -   ; 90 ; 320 ; 3 ; -   ; 84 ; 199 ; -   ; 29 ; 1 ; 23 ; -   ; -   ; -   ; -   ; 2 ; 3 ; 1 ; -   ; 2 ; 2 ; -   
1100189;1.352;5.673;1.348;341;60;980;496;13;20;4;2;2;5;24;58;240;90;20;11;54;274; -   ; 401 ; 2.644 ; 178 ; -   ; 2.105 ; 275 ; 70 ; 124 ; 6 ; 122 ; 10 ; 21 ; -   ; -   ; 3 ; 13 ; 1 ; -   ; 6 ; 4 ; 1 
1101468;63;449;103; -   ; -   ;15;12;1;2;1; -   ; -   ;1;3;4;23;27; -   ; -   ;8;37; -   ; -   ; 272 ; -   ; -   ; 177 ; -   ; -   ; 14 ; -   ; 9 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   
1100205;15.480;80.472;17.193;3.273;330;16.772;2.715;110;232;60;9;4;61;220;746;3.097;1.044;208;26;826;2.648; -   ; 9.111 ; 31.019 ; 6.878 ; -   ; 27.586 ; 1.854 ; 4.024 ; 1.420 ; 370 ; 1.319 ; 257 ; 217 ; -   ; -   ; 44 ; 113 ; 38 ; -   ; 64 ; 13 ; 21 
1100254;712;3.233;664; -   ; -   ;703;90;7;15;5; -   ; -   ;3;15;43;188;84; -   ; -   ;37;126; -   ; 804 ; 1.099 ; -   ; -   ; 1.199 ; 131 ; -   ; 118 ; -   ; 81 ; -   ; -   ; -   ; -   ; 8 ; 7 ; -   ; -   ; 8 ; 4 ; -   
1101476;108;638;130; -   ; -   ; -   ;26;3;4;2; -   ; -   ; -   ;4;11;32;35; -   ; -   ; -   ;26; -   ; -   ; 362 ; -   ; -   ; 276 ; -   ; -   ; 18 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; -   
1100262;101;669;141; -   ; -   ; -   ;28;1;2;1; -   ; -   ; -   ;2;6;35;12; -   ; -   ; -   ;27; -   ; 34 ; 364 ; -   ; -   ; 217 ; 54 ; -   ; 18 ; -   ; 19 ; -   ; 4 ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   
1100288;1.859;8.380;1.880;36; -   ;1.061;426;11;22;10;1; -   ;5;27;127;417;172;9; -   ;69;386; -   ; 1.425 ; 3.148 ; 214 ; -   ; 3.086 ; 391 ; 116 ; 227 ; 20 ; 182 ; 19 ; 23 ; -   ; -   ; 7 ; 9 ; 2 ; -   ; 10 ; 2 ; 2 
1100296;220;1.098;228; -   ; -   ;77;48;3;3;1; -   ; -   ;1;3;11;65;37; -   ; -   ;21;70; -   ; -   ; 643 ; -   ; -   ; 424 ; 31 ; -   ; 34 ; -   ; 34 ; -   ; 9 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 1 ; -   
1101484;148;933;184; -   ; -   ;69;45;3;4;2; -   ; -   ;1;4;9;51;33; -   ; -   ;14;58; -   ; 87 ; 411 ; -   ; -   ; 391 ; 44 ; -   ; 29 ; -   ; 26 ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; -   ; 2 ; 1 ; -   
1101492;446;3.026;696;76; -   ;811;63;4;11;4;1; -   ;1;9;21;134;56;13; -   ;24;119; -   ; 253 ; 1.485 ; -   ; -   ; 531 ; 757 ; -   ; 79 ; -   ; 61 ; -   ; 6 ; -   ; -   ; 3 ; 8 ; -   ; -   ; 3 ; 6 ; -   
1100320;652;3.560;804; -   ; -   ;589;105;12;15;1; -   ; -   ;2;15;33;161;45; -   ; -   ;26;122; -   ; 71 ; 1.866 ; 62 ; -   ; 865 ; 682 ; 14 ; 93 ; 9 ; 79 ; 9 ; 1 ; -   ; -   ; 1 ; 12 ; 1 ; -   ; 2 ; 9 ; 1 
1101500;218;1.927;461;173; -   ;223;135;4;7;1;1; -   ;1;8;10;80;18;8; -   ;11;89; -   ; 37 ; 1.044 ; -   ; -   ; 510 ; 336 ; -   ; 46 ; -   ; 39 ; -   ; -   ; -   ; -   ; 2 ; 4 ; -   ; -   ; 2 ; 3 ; -   
1101559;205;749;160; -   ; -   ;52;24;3;4;1; -   ; -   ;1;4;13;35;9; -   ; -   ;10;30; -   ; -   ; 414 ; -   ; -   ; 125 ; 210 ; -   ; 22 ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 2 ; -   
1101609;262;1.629;365; -   ; -   ;141;67;7;7;1; -   ; -   ;1;8;18;90;50; -   ; -   ;16;73; -   ; 245 ; 590 ; -   ; -   ; 206 ; 588 ; -   ; 43 ; -   ; 50 ; -   ; 3 ; -   ; -   ; 1 ; 6 ; -   ; -   ; 1 ; 6 ; -   
1101708;261;1.859;355; -   ; -   ;252;78;1;8;1; -   ; -   ;1;8;15;86;17; -   ; -   ;27;82; -   ; -   ; 1.046 ; -   ; -   ; 206 ; 607 ; -   ; 50 ; -   ; 57 ; -   ; -   ; -   ; -   ; -   ; 7 ; -   ; -   ; 1 ; 6 ; -   
1101757;129;1.525;242; -   ; -   ;183;62;2;8;1; -   ; -   ;3;7;6;71;17; -   ; -   ;26;57; -   ; 74 ; 827 ; -   ; -   ; 241 ; 383 ; -   ; 41 ; -   ; 38 ; -   ; 3 ; -   ; -   ; 1 ; 7 ; -   ; -   ; 1 ; 3 ; -   
1101807;177;1.253;272; -   ; -   ;28;41;2;6;1; -   ; -   ;1;6;15;58;31; -   ; -   ;6;49; -   ; -   ; 625 ; -   ; -   ; 149 ; 363 ; 116 ; 37 ; -   ; 30 ; 8 ; 4 ; -   ; -   ; -   ; 4 ; -   ; -   ; 1 ; 2 ; 1 
1100304;2.912;13.956;3.251;795;128;3.017;836;22;43;12;3;2;7;47;141;578;214;125;13;117;619; -   ; 689 ; 6.662 ; 841 ; -   ; 4.320 ; 950 ; 494 ; 280 ; 52 ; 223 ; 44 ; 16 ; -   ; -   ; 6 ; 21 ; 7 ; -   ; 13 ; 4 ; 4 
1200013;720;2.631;637;68; -   ;642;91;7;11;3;1; -   ;8;9;38;87;31;6; -   ;32;87; -   ; 104 ; 1.309 ; -   ; -   ; 1.061 ; 157 ; -   ; 47 ; -   ; 46 ; -   ; 5 ; -   ; -   ; 1 ; 8 ; -   ; -   ; 3 ; 1 ; -   
1200054;415;2.411;281; -   ; -   ;584;102;21;65;3; -   ; -   ;10;23;33;155;20; -   ; -   ;37;86; -   ; 491 ; 1.089 ; -   ; -   ; 831 ; -   ; -   ; 34 ; -   ; 124 ; -   ; 85 ; -   ; -   ; 27 ; 36 ; -   ; -   ; 22 ; -   ; -   
1200104;1.215;4.266;1.109;15; -   ;1.167;204;18;53;2;1; -   ;9;27;70;189;47;1; -   ;67;170; -   ; 461 ; 2.170 ; -   ; -   ; 1.635 ; -   ; -   ; 79 ; -   ; 114 ; -   ; 46 ; -   ; -   ; 1 ; 49 ; -   ; -   ; 3 ; -   ; -   
1200138;475;2.406;397; -   ; -   ;794;107;2;31;10; -   ; -   ;7;18;14;119;39; -   ; -   ;56;89; -   ; 348 ; 1.049 ; -   ; -   ; 864 ; 145 ; -   ; 41 ; -   ; 83 ; -   ; 33 ; -   ; -   ; 13 ; 13 ; -   ; -   ; 14 ; 1 ; -   
1200179;438;2.138;492; -   ; -   ;1.012;110;10;15;3; -   ; -   ;11;12;24;97;34; -   ; -   ;64;93; -   ; -   ; 1.253 ; -   ; -   ; 534 ; 351 ; -   ; 41 ; -   ; 62 ; -   ; 14 ; -   ; -   ; -   ; 12 ; -   ; -   ; 3 ; 2 ; -   
1200203;4.982;19.124;5.534;470;23;3.830;1.834;64;148;20;5;1;53;117;318;791;280;55;10;246;915; -   ; 5.742 ; 4.944 ; 283 ; -   ; 6.403 ; 1.559 ; 193 ; 286 ; 27 ; 500 ; 21 ; 182 ; -   ; -   ; 55 ; 83 ; 2 ; -   ; 35 ; 34 ; 1 
1200252;727;2.543;592; -   ; -   ;1.048;140;8;17;2; -   ; -   ;4;17;27;107;30; -   ; -   ;68;117; -   ; -   ; 1.504 ; -   ; -   ; 1.039 ; -   ; -   ; 50 ; -   ; 57 ; -   ; 16 ; -   ; -   ; -   ; 14 ; -   ; -   ; 3 ; -   ; -   
1200302;1.023;8.086;1.864; -   ; -   ;3.051;296;20;136;16; -   ; -   ;26;31;52;396;97; -   ; -   ;227;196; -   ; 2.455 ; 2.655 ; -   ; -   ; 2.329 ; 647 ; -   ; 91 ; -   ; 312 ; -   ; 200 ; -   ; -   ; 44 ; 88 ; -   ; -   ; 28 ; 28 ; -   
1200328;588;2.683;505; -   ; -   ;484;78;18;68;2; -   ; -   ;6;19;43;146;35; -   ; -   ;36;71; -   ; 289 ; 1.333 ; -   ; -   ; 206 ; 855 ; -   ; 18 ; -   ; 128 ; -   ; 107 ; -   ; -   ; 5 ; 62 ; -   ; -   ; 5 ; 58 ; -   
1200336;1.236;3.898;846; -   ; -   ;2.657;269;33;42;6; -   ; -   ;16;28;64;214;80; -   ; -   ;229;195; -   ; 214 ; 2.140 ; -   ; -   ; 1.403 ; 141 ; -   ; 61 ; -   ; 160 ; -   ; 81 ; -   ; -   ; 7 ; 29 ; -   ; -   ; 12 ; 2 ; -   
1200344;421;2.219;435; -   ; -   ;784;82;10;32;1; -   ; -   ;6;13;18;86;22; -   ; -   ;49;66; -   ; 226 ; 1.321 ; -   ; -   ; 596 ; 76 ; -   ; 25 ; -   ; 64 ; -   ; 38 ; -   ; -   ; 7 ; 24 ; -   ; -   ; 3 ; 2 ; -   
1200351;953;4.892;928; -   ; -   ;1.973;157;34;69;3; -   ; -   ;18;31;76;298;43; -   ; -   ;144;143; -   ; 83 ; 2.959 ; -   ; -   ; 38 ; 1.812 ; -   ; 95 ; -   ; 207 ; -   ; 118 ; -   ; -   ; 5 ; 62 ; -   ; -   ; 3 ; 32 ; -   
1200385;662;3.094;763; -   ; -   ;1.055;197;10;21;5; -   ; -   ;18;22;32;147;40; -   ; -   ;69;146; -   ; 704 ; 1.056 ; -   ; -   ; 1.004 ; 330 ; -   ; 73 ; -   ; 83 ; -   ; 17 ; -   ; -   ; 9 ; 11 ; -   ; -   ; 7 ; 3 ; -   
1200807;561;3.744;825; -   ; -   ;1.425;207;13;29;9; -   ; -   ;6;20;39;171;69; -   ; -   ;116;158; -   ; 947 ; 1.158 ; -   ; -   ; 1.598 ; 41 ; -   ; 63 ; -   ; 114 ; -   ; 26 ; -   ; -   ; 10 ; 16 ; -   ; -   ; 10 ; 1 ; -   
1200393;609;2.871;455; -   ; -   ;1.120;134;28;45;2; -   ; -   ;15;25;56;157;21; -   ; -   ;67;107; -   ; 157 ; 1.593 ; -   ; -   ; 541 ; 580 ; -   ; 41 ; -   ; 132 ; -   ; 52 ; -   ; -   ; 9 ; 34 ; -   ; -   ; 5 ; 17 ; -   
1200401;16.539;60.860;17.750;2.377;60;13.264;3.651;86;198;54;9;2;82;220;705;2.291;909;138;8;633;2.800; 142 ; 21.888 ; 9.199 ; 3.925 ; 206 ; 23.054 ; -   ; 2.446 ; 1.010 ; 210 ; 1.035 ; 154 ; 113 ; -   ; 1 ; 109 ; 35 ; 22 ; 1 ; 77 ; -   ; 12 
1200427;1.244;3.523;903; -   ; -   ;3.109;398;39;60;11; -   ; -   ;32;43;85;203;63; -   ; -   ;256;243; -   ; 33 ; 1.923 ; -   ; -   ; 1.567 ; -   ; -   ; 60 ; -   ; 151 ; -   ; 65 ; -   ; -   ; 4 ; 44 ; -   ; -   ; 12 ; -   ; -   
1200435;337;2.007;364; -   ; -   ;551;43;9;55;10; -   ; -   ;4;19;28;114;18; -   ; -   ;44;52; -   ; 174 ; 1.051 ; -   ; -   ; -   ; 782 ; -   ; 14 ; -   ; 101 ; -   ; 91 ; -   ; -   ; 8 ; 43 ; -   ; -   ; -   ; 40 ; -   
1200500;1.264;7.491;1.884;286; -   ;1.274;241;13;141;20;2; -   ;6;39;65;368;97;21; -   ;103;214; -   ; 1.105 ; 3.612 ; -   ; -   ; 2.394 ; 380 ; -   ; 125 ; -   ; 254 ; -   ; 138 ; -   ; -   ; 58 ; 74 ; -   ; -   ; 30 ; 18 ; -   
1200450;1.038;4.341;1.067; -   ; -   ;1.193;244;8;28;8; -   ; -   ;15;28;44;209;79; -   ; -   ;75;180; -   ; 1.441 ; 1.136 ; 55 ; -   ; 1.371 ; 300 ; 38 ; 95 ; 5 ; 107 ; 8 ; 21 ; -   ; -   ; 14 ; 8 ; 1 ; -   ; 9 ; 1 ; 1 
1200609;1.681;11.168;1.900;470; -   ;2.473;294;31;90;15;1; -   ;33;49;103;488;113;26; -   ;160;276; -   ; 2.315 ; 4.887 ; -   ; -   ; 3.567 ; 399 ; -   ; 125 ; -   ; 369 ; -   ; 190 ; -   ; -   ; 43 ; 43 ; -   ; -   ; 32 ; 3 ; -   
1200708;618;3.020;695;238; -   ;1.255;91;13;53;11;1; -   ;28;24;35;171;75;35; -   ;95;115; -   ; 1.063 ; 702 ; -   ; -   ; 1.255 ; -   ; -   ; 37 ; -   ; 136 ; -   ; 72 ; -   ; -   ; 27 ; 20 ; -   ; -   ; 18 ; -   ; -   
1300029;920;3.925;750;86; -   ;849;63;50;55;3;1; -   ;29;12;34;205;63;20; -   ;74;82; -   ; 404 ; 1.923 ; -   ; -   ; 697 ; 901 ; -   ; 106 ; -   ; 116 ; -   ; 71 ; -   ; -   ; 1 ; 52 ; -   ; -   ; 2 ; 22 ; -   
1300060;583;2.423;712;103; -   ;196;58;20;25;4;1; -   ;4;13;29;146;74;11; -   ;50;84; -   ; 252 ; 1.213 ; -   ; -   ; 340 ; 618 ; -   ; 82 ; -   ; 98 ; -   ; 58 ; -   ; -   ; 1 ; 22 ; -   ; -   ; 3 ; 9 ; -   
1300086;416;2.061;699;96; -   ;108;43;21;26;5;1; -   ;4;9;15;159;53;25; -   ;39;81; -   ; 245 ; 898 ; -   ; -   ; 455 ; 463 ; -   ; 57 ; -   ; 109 ; -   ; 42 ; -   ; -   ; 3 ; 21 ; -   ; -   ; 3 ; 7 ; -   
1300102;447;2.612;561;47; -   ;238;38;18;21;2;1; -   ;3;5;30;141;71;7; -   ;48;76; -   ; 526 ; 994 ; -   ; -   ; 494 ; 598 ; -   ; 82 ; -   ; 80 ; -   ; 39 ; -   ; -   ; 1 ; 19 ; -   ; -   ; 1 ; 9 ; -   
