UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;00015;1100015;Alta Floresta D'Oeste;25.506
RO;11;00023;1100023;Ariquemes;105.896
RO;11;00031;1100031;Cabixi;6.289
RO;11;00049;1100049;Cacoal;87.877
RO;11;00056;1100056;Cerejeiras;17.959
RO;11;00064;1100064;Colorado do Oeste;18.639
RO;11;00072;1100072;Corumbiara;8.749
RO;11;00080;1100080;Costa Marques;17.031
RO;11;00098;1100098;Espigão D'Oeste;32.712
RO;11;00106;1100106;Guajará-Mirim;47.048
RO;11;00114;1100114;Jaru;55.806
RO;11;00122;1100122;Ji-Paraná;131.560
RO;11;00130;1100130;Machadinho D'Oeste;37.899
RO;11;00148;1100148;Nova Brasilândia D'Oeste;21.670
RO;11;00155;1100155;Ouro Preto do Oeste;39.840
RO;11;00189;1100189;Pimenta Bueno;37.786
RO;11;00205;1100205;Porto Velho;511.219(1)
RO;11;00254;1100254;Presidente Médici;22.337
RO;11;00262;1100262;Rio Crespo;3.790
RO;11;00288;1100288;Rolim de Moura;56.664
RO;11;00296;1100296;Santa Luzia D'Oeste;8.362
RO;11;00304;1100304;Vilhena;93.745
RO;11;00320;1100320;São Miguel do Guaporé;24.059
RO;11;00338;1100338;Nova Mamoré;28.255
RO;11;00346;1100346;Alvorada D'Oeste;16.902
RO;11;00379;1100379;Alto Alegre dos Parecis;13.993
RO;11;00403;1100403;Alto Paraíso;20.569
RO;11;00452;1100452;Buritis;38.450
RO;11;00502;1100502;Novo Horizonte do Oeste;10.161
RO;11;00601;1100601;Cacaulândia;6.414
RO;11;00700;1100700;Campo Novo de Rondônia;14.354
RO;11;00809;1100809;Candeias do Jamari;24.719
RO;11;00908;1100908;Castanheiras;3.583
RO;11;00924;1100924;Chupinguaia;10.364
RO;11;00940;1100940;Cujubim;21.720
RO;11;01005;1101005;Governador Jorge Teixeira;9.933
RO;11;01104;1101104;Itapuã do Oeste;10.155
RO;11;01203;1101203;Ministro Andreazza;10.786
RO;11;01302;1101302;Mirante da Serra;12.308
RO;11;01401;1101401;Monte Negro;16.032
RO;11;01435;1101435;Nova União;7.796
RO;11;01450;1101450;Parecis;5.802
RO;11;01468;1101468;Pimenteiras do Oeste;2.417
RO;11;01476;1101476;Primavera de Rondônia;3.456
RO;11;01484;1101484;São Felipe D'Oeste;6.048
RO;11;01492;1101492;São Francisco do Guaporé;19.353
RO;11;01500;1101500;Seringueiras;12.617
RO;11;01559;1101559;Teixeirópolis;4.966
RO;11;01609;1101609;Theobroma;11.348
RO;11;01708;1101708;Urupá;13.198
RO;11;01757;1101757;Vale do Anari;10.999
RO;11;01807;1101807;Vale do Paraíso;8.138
AC;12;00013;1200013;Acrelândia;14.120
AC;12;00054;1200054;Assis Brasil;6.863
AC;12;00104;1200104;Brasiléia;24.311
AC;12;00138;1200138;Bujari;9.503
AC;12;00179;1200179;Capixaba;10.820
AC;12;00203;1200203;Cruzeiro do Sul;82.075
AC;12;00252;1200252;Epitaciolândia;17.038
AC;12;00302;1200302;Feijó;32.372
AC;12;00328;1200328;Jordão;7.685
AC;12;00336;1200336;Mâncio Lima;17.545
AC;12;00344;1200344;Manoel Urbano;8.765
AC;12;00351;1200351;Marechal Thaumaturgo;17.401
AC;12;00385;1200385;Plácido de Castro;18.336
AC;12;00393;1200393;Porto Walter;11.059
AC;12;00401;1200401;Rio Branco;377.057
AC;12;00427;1200427;Rodrigues Alves;17.464
AC;12;00435;1200435;Santa Rosa do Purus;6.021
AC;12;00450;1200450;Senador Guiomard;21.369
AC;12;00500;1200500;Sena Madureira;42.451
AC;12;00609;1200609;Tarauacá;39.427
AC;12;00708;1200708;Xapuri;17.894
AC;12;00807;1200807;Porto Acre;17.111
AM;13;00029;1300029;Alvarães;15.729
AM;13;00060;1300060;Amaturá;11.047
AM;13;00086;1300086;Anamã;12.653
AM;13;00102;1300102;Anori;19.749
AM;13;00144;1300144;Apuí;21.031
AM;13;00201;1300201;Atalaia do Norte;18.599
AM;13;00300;1300300;Autazes;37.752
AM;13;00409;1300409;Barcelos;27.589
AM;13;00508;1300508;Barreirinha;31.105
AM;13;00607;1300607;Benjamin Constant;40.417
AM;13;00631;1300631;Beruri;18.579
AM;13;00680;1300680;Boa Vista do Ramos;18.080
AM;13;00706;1300706;Boca do Acre;33.840
AM;13;00805;1300805;Borba;39.885
AM;13;00839;1300839;Caapiranga;12.622
AM;13;00904;1300904;Canutama;15.312
AM;13;01001;1301001;Carauari;28.111
AM;13;01100;1301100;Careiro;36.922
AM;13;01159;1301159;Careiro da Várzea;28.592
AM;13;01209;1301209;Coari;83.929
AM;13;01308;1301308;Codajás;27.303
AM;13;01407;1301407;Eirunepé;34.461
AM;13;01506;1301506;Envira;19.143
AM;13;01605;1301605;Fonte Boa;20.199
AM;13;01654;1301654;Guajará;16.085
AM;13;01704;1301704;Humaitá;52.354
AM;13;01803;1301803;Ipixuna;27.587
AM;13;01852;1301852;Iranduba;46.703
AM;13;01902;1301902;Itacoatiara;98.503
AM;13;01951;1301951;Itamarati;8.153
AM;13;02009;1302009;Itapiranga;9.040
AM;13;02108;1302108;Japurá;4.660
AM;13;02207;1302207;Juruá;13.581
AM;13;02306;1302306;Jutaí;16.200
AM;13;02405;1302405;Lábrea;44.071
AM;13;02504;1302504;Manacapuru;95.330
AM;13;02553;1302553;Manaquiri;29.327
AM;13;02603;1302603;Manaus;2.094.391
AM;13;02702;1302702;Manicoré;53.890
AM;13;02801;1302801;Maraã;18.477
AM;13;02900;1302900;Maués;61.110
AM;13;03007;1303007;Nhamundá;20.633
AM;13;03106;1303106;Nova Olinda do Norte;35.800
AM;13;03205;1303205;Novo Airão;18.133
AM;13;03304;1303304;Novo Aripuanã;24.718
AM;13;03403;1303403;Parintins;112.716
AM;13;03502;1303502;Pauini;19.488
AM;13;03536;1303536;Presidente Figueiredo;33.703
AM;13;03569;1303569;Rio Preto da Eva;31.274
AM;13;03601;1303601;Santa Isabel do Rio Negro;23.092
AM;13;03700;1303700;Santo Antônio do Içá;23.378
AM;13;03809;1303809;São Gabriel da Cachoeira;43.831
AM;13;03908;1303908;São Paulo de Olivença;37.300
AM;13;03957;1303957;São Sebastião do Uatumã;13.105
AM;13;04005;1304005;Silves;9.147
AM;13;04062;1304062;Tabatinga;62.346
AM;13;04104;1304104;Tapauá;18.039
AM;13;04203;1304203;Tefé;62.230
AM;13;04237;1304237;Tonantins;18.632
AM;13;04260;1304260;Uarini;13.276
AM;13;04302;1304302;Urucará;17.065
AM;13;04401;1304401;Urucurituba;21.650
RR;14;00027;1400027;Amajari;11.285
RR;14;00050;1400050;Alto Alegre;16.053
RR;14;00100;1400100;Boa Vista;326.419
RR;14;00159;1400159;Bonfim;11.843
RR;14;00175;1400175;Cantá;16.516
RR;14;00209;1400209;Caracaraí;20.537
RR;14;00233;1400233;Caroebe;9.331
RR;14;00282;1400282;Iracema;10.592
RR;14;00308;1400308;Mucajaí;16.618
RR;14;00407;1400407;Normandia;10.339
RR;14;00456;1400456;Pacaraima;12.144
RR;14;00472;1400472;Rorainópolis;27.756
RR;14;00506;1400506;São João da Baliza;7.629
RR;14;00605;1400605;São Luiz;7.503
RR;14;00704;1400704;Uiramutã;9.664
PA;15;00107;1500107;Abaetetuba;151.934
PA;15;00131;1500131;Abel Figueiredo;7.179
PA;15;00206;1500206;Acará;54.080
PA;15;00305;1500305;Afuá;37.778
PA;15;00347;1500347;Água Azul do Norte;26.497
PA;15;00404;1500404;Alenquer;54.960
PA;15;00503;1500503;Almeirim;33.282
PA;15;00602;1500602;Altamira;109.938
PA;15;00701;1500701;Anajás;28.012
PA;15;00800;1500800;Ananindeua;510.834
PA;15;00859;1500859;Anapu;26.271
PA;15;00909;1500909;Augusto Corrêa;44.227
PA;15;00958;1500958;Aurora do Pará;29.991
PA;15;01006;1501006;Aveiro;15.950
PA;15;01105;1501105;Bagre;29.065
PA;15;01204;1501204;Baião;44.956
PA;15;01253;1501253;Bannach;3.233
PA;15;01303;1501303;Barcarena;118.537
PA;15;01402;1501402;Belém;1.446.042
PA;15;01451;1501451;Belterra;17.145
PA;15;01501;1501501;Benevides;59.836
PA;15;01576;1501576;Bom Jesus do Tocantins;16.375
PA;15;01600;1501600;Bonito;15.563
PA;15;01709;1501709;Bragança;122.881
PA;15;01725;1501725;Brasil Novo;14.834
PA;15;01758;1501758;Brejo Grande do Araguaia;7.206
PA;15;01782;1501782;Breu Branco;62.737
PA;15;01808;1501808;Breves;99.080
PA;15;01907;1501907;Bujaru;28.016
PA;15;01956;1501956;Cachoeira do Piriá;32.139
PA;15;02004;1502004;Cachoeira do Arari;22.786
PA;15;02103;1502103;Cametá;132.515
PA;15;02152;1502152;Canaã dos Carajás;34.853
PA;15;02202;1502202;Capanema;66.759
PA;15;02301;1502301;Capitão Poço;52.768
PA;15;02400;1502400;Castanhal;192.571
PA;15;02509;1502509;Chaves;22.821
PA;15;02608;1502608;Colares;11.721
PA;15;02707;1502707;Conceição do Araguaia;46.485
PA;15;02756;1502756;Concórdia do Pará;31.884
PA;15;02764;1502764;Cumaru do Norte;12.765
PA;15;02772;1502772;Curionópolis;17.578
PA;15;02806;1502806;Curralinho;32.881
PA;15;02855;1502855;Curuá;13.783
PA;15;02905;1502905;Curuçá;38.391
PA;15;02939;1502939;Dom Eliseu;57.251
PA;15;02954;1502954;Eldorado do Carajás;32.780
PA;15;03002;1503002;Faro;7.168
PA;15;03044;1503044;Floresta do Araguaia;19.508
PA;15;03077;1503077;Garrafão do Norte;25.345
PA;15;03093;1503093;Goianésia do Pará;38.677
PA;15;03101;1503101;Gurupá;32.049
PA;15;03200;1503200;Igarapé-Açu;37.547
PA;15;03309;1503309;Igarapé-Miri;60.675
PA;15;03408;1503408;Inhangapi;11.224
PA;15;03457;1503457;Ipixuna do Pará;60.433
PA;15;03507;1503507;Irituia;31.664
PA;15;03606;1503606;Itaituba;98.485
PA;15;03705;1503705;Itupiranga;51.806
PA;15;03754;1503754;Jacareacanga;8.852(2)
PA;15;03804;1503804;Jacundá;56.781
PA;15;03903;1503903;Juruti;55.179
PA;15;04000;1504000;Limoeiro do Ajuru;27.760
PA;15;04059;1504059;Mãe do Rio;29.112
PA;15;04109;1504109;Magalhães Barata;8.298
PA;15;04208;1504208;Marabá;266.932
PA;15;04307;1504307;Maracanã;28.668
PA;15;04406;1504406;Marapanim;27.471
PA;15;04422;1504422;Marituba;125.435
PA;15;04455;1504455;Medicilândia;30.315
PA;15;04505;1504505;Melgaço;26.652
PA;15;04604;1504604;Mocajuba;29.846
PA;15;04703;1504703;Moju;78.629
PA;15;04752;1504752;Mojuí dos Campos;15.548
PA;15;04802;1504802;Monte Alegre;56.391
PA;15;04901;1504901;Muaná;38.616
PA;15;04950;1504950;Nova Esperança do Piriá;20.727
PA;15;04976;1504976;Nova Ipixuna;16.032
PA;15;05007;1505007;Nova Timboteua;14.791
PA;15;05031;1505031;Novo Progresso;25.102
PA;15;05064;1505064;Novo Repartimento;72.347
PA;15;05106;1505106;Óbidos;50.596
PA;15;05205;1505205;Oeiras do Pará;31.257
PA;15;05304;1505304;Oriximiná;70.071
PA;15;05403;1505403;Ourém;17.237
PA;15;05437;1505437;Ourilândia do Norte;31.359
PA;15;05486;1505486;Pacajá;45.596
PA;15;05494;1505494;Palestina do Pará;7.404
PA;15;05502;1505502;Paragominas;108.547
PA;15;05536;1505536;Parauapebas;196.259
PA;15;05551;1505551;Pau D'Arco;5.436
PA;15;05601;1505601;Peixe-Boi;7.867
PA;15;05635;1505635;Piçarra;12.653
PA;15;05650;1505650;Placas;29.336
PA;15;05700;1505700;Ponta de Pedras;29.700
PA;15;05809;1505809;Portel;59.322
PA;15;05908;1505908;Porto de Moz;39.246
PA;15;06005;1506005;Prainha;29.132
PA;15;06104;1506104;Primavera;10.510
PA;15;06112;1506112;Quatipuru;13.142
PA;15;06138;1506138;Redenção;81.647
PA;15;06161;1506161;Rio Maria;17.721
PA;15;06187;1506187;Rondon do Pará;50.460
PA;15;06195;1506195;Rurópolis;47.971
PA;15;06203;1506203;Salinópolis;39.328
PA;15;06302;1506302;Salvaterra;22.740
PA;15;06351;1506351;Santa Bárbara do Pará;20.077
PA;15;06401;1506401;Santa Cruz do Arari;9.635
