COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
1100015;490;4.145;1.046; -   ; -   ;580;138;10;33;2; -   ; -   ;2;17;48;263;85; -   ; -   ;51;137; -   ; 1.111 ; 1.352 ; 24 ; -   ; 1.038 ; 620 ; -   ; 103 ; 2 ; 170 ; -   ; 49 ; -   ; -   ; 16 ; 16 ; 1 ; -   ; 7 ; 10 ; -   
1100379;204;2.225;482; -   ; -   ;147;79;2;10;1; -   ; -   ;3;10;10;108;26; -   ; -   ;25;68; -   ; 135 ; 1.191 ; 7 ; -   ; 173 ; 719 ; -   ; 56 ; -   ; 54 ; 1 ; 3 ; 1 ; -   ; 2 ; 7 ; 1 ; -   ; 1 ; 6 ; -   
1100403;212;3.075;671; -   ; -   ;375;95;3;15;1; -   ; -   ;2;12;7;133;24; -   ; -   ;25;106; -   ; 309 ; 1.467 ; -   ; -   ; 462 ; 837 ; -   ; 72 ; -   ; 70 ; -   ; 5 ; -   ; -   ; 1 ; 13 ; -   ; -   ; 1 ; 8 ; -   
1100346;417;2.533;688; -   ; -   ;392;162;9;11;2; -   ; -   ;2;10;40;155;38; -   ; -   ;33;113; -   ; 631 ; 869 ; -   ; -   ; 531 ; 502 ; -   ; 80 ; -   ; 101 ; -   ; -   ; -   ; -   ; 3 ; 8 ; -   ; -   ; 3 ; 7 ; -   
1100023;3.044;16.758;4.258;1.169; -   ;3.818;822;26;36;8;3; -   ;18;45;128;691;250;88; -   ;217;696; -   ; 1.950 ; 7.212 ; 1.029 ; -   ; 3.473 ; 2.543 ; 551 ; 379 ; 49 ; 303 ; 45 ; 16 ; -   ; -   ; 7 ; 22 ; 5 ; -   ; 9 ; 15 ; 4 
1100452;630;6.717;1.508; -   ; -   ;1.013;331;11;37;4; -   ; -   ;4;21;28;264;98; -   ; -   ;63;214; -   ; 390 ; 3.244 ; 106 ; -   ; 2.280 ; 694 ; 3 ; 112 ; 5 ; 156 ; 2 ; 21 ; 2 ; -   ; 2 ; 30 ; 2 ; -   ; 4 ; 5 ; 1 
1100031;230;950;246; -   ; -   ;220;22;4;6;2; -   ; -   ;1;3;12;62;25; -   ; -   ;10;32; -   ; 105 ; 483 ; -   ; -   ; 362 ; -   ; -   ; 36 ; -   ; 30 ; -   ; -   ; -   ; -   ; 3 ; 3 ; -   ; -   ; 3 ; -   ; -   
1100601;123;1.118;207; -   ; -   ;86;33;2;5;1; -   ; -   ;3;4;7;63;19; -   ; -   ;13;46; -   ; -   ; 654 ; -   ; -   ; 332 ; 132 ; -   ; 33 ; -   ; 33 ; -   ; 1 ; -   ; -   ; -   ; 4 ; -   ; -   ; 1 ; 2 ; -   
1100049;2.593;12.683;4.312;1.795; -   ;2.100;675;29;47;17;5; -   ;5;50;130;582;252;180; -   ;61;576; -   ; 2.392 ; 3.779 ; 1.180 ; -   ; 3.335 ; 1.170 ; 827 ; 273 ; 45 ; 235 ; 66 ; 32 ; -   ; -   ; 18 ; 17 ; 6 ; -   ; 17 ; 11 ; 5 
1100700;231;2.349;451; -   ; -   ;210;49;3;10;2; -   ; -   ;2;8;11;102;26; -   ; -   ;22;58; -   ; 150 ; 1.283 ; -   ; -   ; 355 ; 561 ; -   ; 74 ; -   ; 68 ; -   ; 2 ; -   ; -   ; 1 ; 8 ; -   ; -   ; 2 ; 5 ; -   
