COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
1100015;571;4.108;888; -   ; -   ;477;176;9;33;3; -   ; -   ;2;17;51;232;73; -   ; -   ;44;164; -   ; 1.073 ; 1.366 ; -   ; -   ; 1.124 ; 545 ; -   ; 105 ; -   ; 137 ; -   ; 41 ; -   ; -   ; 16 ; 17 ; -   ; -   ; 7 ; 8 ; -   
1100379;206;2.219;416; -   ; -   ;61;75;2;10;1; -   ; -   ;2;11;9;102;45; -   ; -   ;15;69; -   ; 107 ; 1.119 ; 5 ; -   ; 256 ; 732 ; -   ; 53 ; -   ; 52 ; 1 ; 6 ; 1 ; -   ; 2 ; 7 ; 1 ; -   ; 1 ; 6 ; -   
1100403;211;2.798;576; -   ; -   ;308;80;3;15;1; -   ; -   ;2;10;6;129;22; -   ; -   ;24;88; -   ; 227 ; 1.359 ; -   ; -   ; 495 ; 717 ; -   ; 70 ; -   ; 71 ; -   ; 5 ; -   ; -   ; 1 ; 13 ; -   ; -   ; 2 ; 8 ; -   
1100346;413;2.389;501; -   ; -   ;332;173;9;11;2; -   ; -   ;2;14;42;144;31; -   ; -   ;28;123; -   ; 569 ; 851 ; -   ; -   ; 517 ; 452 ; -   ; 79 ; -   ; 81 ; -   ; 4 ; -   ; -   ; 3 ; 8 ; -   ; -   ; 3 ; 7 ; -   
1100023;3.296;16.167;3.901;849;121;2.660;866;26;35;8;3;2;12;46;131;671;248;69;8;153;720; -   ; 1.494 ; 7.012 ; 1.116 ; -   ; 4.147 ; 1.895 ; 503 ; 352 ; 54 ; 304 ; 45 ; 25 ; -   ; -   ; 6 ; 21 ; 5 ; -   ; 9 ; 13 ; 4 
1100452;714;6.235;1.201; -   ; -   ;740;398;11;30;4; -   ; -   ;4;20;29;223;90; -   ; -   ;50;186; -   ; -   ; 3.298 ; 136 ; -   ; 2.258 ; 543 ; -   ; 96 ; 9 ; 124 ; 3 ; 19 ; 3 ; -   ; -   ; 24 ; 2 ; -   ; 4 ; 5 ; -   
1100031;183;953;185; -   ; -   ;69;45;4;6;2; -   ; -   ;1;5;10;62;22; -   ; -   ;10;41; -   ; 52 ; 526 ; -   ; -   ; 375 ; -   ; -   ; 36 ; -   ; 29 ; -   ; -   ; -   ; -   ; 2 ; 3 ; -   ; -   ; 3 ; -   ; -   
1100601;119;929;202; -   ; -   ;36;33;3;4;1; -   ; -   ;2;3;8;48;17; -   ; -   ;9;39; -   ; -   ; 529 ; -   ; -   ; 299 ; 101 ; -   ; 25 ; -   ; 26 ; -   ; 1 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 2 ; -   
1100049;2.615;12.804;3.749;1.527;117;2.263;865;28;45;17;5;1;4;53;124;548;263;173;14;73;647; -   ; 2.175 ; 3.801 ; 1.313 ; -   ; 3.372 ; 1.239 ; 904 ; 222 ; 60 ; 225 ; 82 ; 40 ; -   ; -   ; 17 ; 17 ; 6 ; -   ; 16 ; 11 ; 6 
1100700;314;2.154;356; -   ; -   ;146;57;6;7;2; -   ; -   ;2;7;13;88;30; -   ; -   ;18;68; -   ; -   ; 1.300 ; -   ; -   ; 457 ; 397 ; -   ; 50 ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 2 ; 4 ; -   
1100809;986;4.243;678; -   ; -   ;1.072;109;9;13;2; -   ; -   ;6;13;34;153;49; -   ; -   ;66;130; -   ; 484 ; 2.121 ; -   ; -   ; 1.130 ; 508 ; -   ; 88 ; -   ; 71 ; -   ; 9 ; -   ; -   ; 4 ; 8 ; -   ; -   ; 4 ; 2 ; -   
1100908;60;582;137; -   ; -   ;15;19;2;4;1; -   ; -   ;1;4;5;37;9; -   ; -   ;8;27; -   ; 18 ; 319 ; -   ; -   ; 129 ; 116 ; -   ; 23 ; -   ; 22 ; -   ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; 2 ; 2 ; -   
1100056;672;2.478;491; -   ; -   ;526;137;11;10;2; -   ; -   ;2;14;42;112;25; -   ; -   ;36;106; -   ; 325 ; 1.057 ; 42 ; -   ; 1.016 ; -   ; 38 ; 66 ; 6 ; 36 ; 8 ; 5 ; -   ; -   ; 1 ; 6 ; 1 ; -   ; 2 ; -   ; 1 
1100924;378;1.859;450; -   ; -   ; -   ;46;9;12;2; -   ; -   ; -   ;6;18;98;47; -   ; -   ; -   ;77; -   ; -   ; 1.081 ; -   ; -   ; 594 ; 184 ; -   ; 53 ; -   ; 52 ; -   ; 14 ; -   ; -   ; -   ; 10 ; -   ; -   ; 2 ; 5 ; -   
1100064;479;2.517;954;551; -   ;423;244;5;13;3;1; -   ;2;16;40;146;93;55; -   ;29;167; -   ; 1.097 ; 305 ; 77 ; -   ; 786 ; 252 ; -   ; 69 ; 8 ; 73 ; -   ; 9 ; -   ; -   ; 6 ; 5 ; 2 ; -   ; 2 ; 5 ; -   
1100072;157;1.357;247; -   ; -   ;158;30;1;7;3; -   ; -   ;2;6;8;70;43; -   ; -   ;15;47; -   ; 132 ; 616 ; -   ; -   ; 428 ; 181 ; -   ; 32 ; -   ; 47 ; -   ; 7 ; -   ; -   ; 2 ; 4 ; -   ; -   ; 3 ; 3 ; -   
1100080;464;2.759;470; -   ; -   ;395;121;6;11;2; -   ; -   ;2;10;25;128;48; -   ; -   ;22;105; -   ; 210 ; 1.446 ; -   ; -   ; 773 ; 330 ; -   ; 72 ; -   ; 58 ; -   ; 6 ; -   ; -   ; 1 ; 8 ; -   ; -   ; 3 ; 3 ; -   
