UF;COD. UF;COD_MUNIC;COD. MUNIC;NOME DO MUNICÍPIO;POPULAÇÃO ESTIMADA
RO;11;00015;1100015;Alta Floresta D'Oeste;25.437 
RO;11;00023;1100023;Ariquemes;107.345 
RO;11;00031;1100031;Cabixi;6.224 
RO;11;00049;1100049;Cacoal;88.507 
RO;11;00056;1100056;Cerejeiras;17.934 
RO;11;00064;1100064;Colorado do Oeste;18.467 
RO;11;00072;1100072;Corumbiara;8.659 
RO;11;00080;1100080;Costa Marques;17.400 
RO;11;00098;1100098;Espigão D'Oeste;33.030 
RO;11;00106;1100106;Guajará-Mirim;47.451 
RO;11;00114;1100114;Jaru;55.871 
RO;11;00122;1100122;Ji-Paraná;132.667 
RO;11;00130;1100130;Machadinho D'Oeste;38.609 
RO;11;00148;1100148;Nova Brasilândia D'Oeste;21.747 
RO;11;00155;1100155;Ouro Preto do Oeste;39.759 
RO;11;00189;1100189;Pimenta Bueno;38.051 
RO;11;00205;1100205;Porto Velho;519.436 (1)
RO;11;00254;1100254;Presidente Médici;22.124 
RO;11;00262;1100262;Rio Crespo;3.829 
RO;11;00288;1100288;Rolim de Moura;57.074 
RO;11;00296;1100296;Santa Luzia D'Oeste;8.198 
RO;11;00304;1100304;Vilhena;95.630 
RO;11;00320;1100320;São Miguel do Guaporé;24.181 
RO;11;00338;1100338;Nova Mamoré;28.891 
RO;11;00346;1100346;Alvorada D'Oeste;16.747 
RO;11;00379;1100379;Alto Alegre dos Parecis;14.045 
RO;11;00403;1100403;Alto Paraíso;20.916 
RO;11;00452;1100452;Buritis;39.044 
RO;11;00502;1100502;Novo Horizonte do Oeste;10.051 
RO;11;00601;1100601;Cacaulândia;6.460 
RO;11;00700;1100700;Campo Novo de Rondônia;14.484 
RO;11;00809;1100809;Candeias do Jamari;25.266 
RO;11;00908;1100908;Castanheiras;3.550 
RO;11;00924;1100924;Chupinguaia;10.593 
RO;11;00940;1100940;Cujubim;22.443 
