COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
1100015;538;3.944;1.018; -   ; -   ;535;150;9;34;2; -   ; -   ;2;19;45;234;63; -   ; -   ;47;152; -   ; 1.123 ; 1.337 ; -   ; -   ; 1.009 ; 475 ; -   ; 313 ; 10 ; 220 ; 10 ; 123 ; -   ; -   ; 16 ; 18 ; -   ; -   ; 7 ; 8 ; -   
1100379;180;2.200;489; -   ; -   ;71;82;2;10;1; -   ; -   ;2;10;9;107;25; -   ; -   ;20;80; -   ; 119 ; 1.141 ; 5 ; -   ; 170 ; 765 ; -   ; 127 ; 2 ; 81 ; 2 ; 61 ; -   ; -   ; 2 ; 7 ; 1 ; -   ; 1 ; 6 ; -   
1100403;196;3.006;643; -   ; -   ;347;95;3;15;1; -   ; -   ;2;11;7;135;21; -   ; -   ;23;92; -   ; 297 ; 1.450 ; -   ; -   ; 498 ; 761 ; -   ; 149 ; -   ; 91 ; -   ; 67 ; -   ; -   ; 1 ; 13 ; -   ; -   ; 1 ; 8 ; -   
1100346;414;2.364;641; -   ; -   ;364;138;9;11;2; -   ; -   ;2;11;43;150;39; -   ; -   ;33;114; -   ; 629 ; 773 ; -   ; -   ; 539 ; 423 ; -   ; 209 ; 10 ; 169 ; 10 ; 44 ; -   ; -   ; 3 ; 8 ; -   ; -   ; 3 ; 7 ; -   
1100023;3.144;16.221;4.153;1.056;45;3.447;863;25;35;8;2;1;16;45;131;688;236;70;4;211;688; -   ; 1.814 ; 6.876 ; 1.092 ; -   ; 3.796 ; 2.147 ; 496 ; 873 ; 164 ; 713 ; 164 ; 171 ; -   ; -   ; 7 ; 21 ; 5 ; -   ; 9 ; 14 ; 4 
1100452;733;6.298;1.264; -   ; -   ;957;364;11;35;4; -   ; -   ;4;22;29;243;85; -   ; -   ;58;195; -   ; 425 ; 3.057 ; 118 ; -   ; 2.040 ; 658 ; -   ; 268 ; 16 ; 192 ; 16 ; 84 ; -   ; -   ; 2 ; 28 ; 2 ; -   ; 4 ; 5 ; -   
1100031;219;966;221; -   ; -   ;129;42;4;6;2; -   ; -   ;1;5;10;59;23; -   ; -   ;11;39; -   ; 124 ; 467 ; -   ; -   ; 375 ; -   ; -   ; 81 ; -   ; 68 ; -   ; 13 ; -   ; -   ; 3 ; 3 ; -   ; -   ; 3 ; -   ; -   
1100601;116;933;212; -   ; -   ;60;37;2;4;1; -   ; -   ;3;5;7;50;19; -   ; -   ;9;44; -   ; -   ; 551 ; -   ; -   ; 278 ; 104 ; -   ; 62 ; -   ; 44 ; -   ; 23 ; -   ; -   ; -   ; 3 ; -   ; -   ; 1 ; 2 ; -   
1100049;2.598;12.675;4.009;1.718;115;2.137;802;25;47;17;5;1;4;51;125;560;241;176;13;61;617; -   ; 2.475 ; 3.586 ; 1.314 ; -   ; 3.251 ; 1.214 ; 835 ; 700 ; 320 ; 552 ; 309 ; 153 ; 11 ; -   ; 21 ; 17 ; 6 ; -   ; 17 ; 11 ; 5 
1100700;233;2.308;411; -   ; -   ;185;44;2;8;2; -   ; -   ;2;7;9;105;31; -   ; -   ;18;65; -   ; 154 ; 1.260 ; -   ; -   ; 357 ; 537 ; -   ; 114 ; -   ; 53 ; -   ; 65 ; -   ; -   ; 1 ; 6 ; -   ; -   ; 2 ; 5 ; -   
