COD. MUNIC;MAT_Edu_ Infantil;MAT_Ens_Fundamental;MAT_Ens_ Médio;MAT_Educ_Prof_Técnica_Médio;MAT_Educ_Profissional(FIC);MAT_EJA;MAT_Educ_ Especial;QTD_Edu_ Infantil;QTD_Ens_Fundamental;QTD_Ens_ Médio;QTD_Educ_Prof_Técnica_Médio;QTD_Educ_Profissional(FIC);QTD_EJA;QTD_Educ_ Especial;DOCENTE_ Infantil;DOCENTE_Fundamental;DOCENTE_ Médio;DOCENTE_Prof_Técnica_Médio;DOCENTE_Profissional(FIC);DOCENTE_EJA;DOCENTE_Especial;MAT_Federal_ini;MAT_Estadual_ini;MAT_Municipal_ini;MAT_Privada_ini;MAT_Federal_final;MAT_Estadual_final;MAT_Municipal_final;MAT_Privada_final;DOC_Pública_ini;DOC_Privada_ini;DOC_Pública_final;DOC_Privada_final;DOC_Pública_Mult;DOC_Privada_Mult;ESC_Federal_ini;ESC_Estadual_ini;ESC_Municipal_ini;ESC_Privada_ini;ESC_Federal_final;ESC_Estadual_final;ESC_Municipal_final;ESC_Privada_final
5105507;842;2.800;742;43; -   ;222;61;17;16;2;1; -   ;2;9;36;144;75;15; -   ;35;75; -   ; 298 ; 1.146 ; -   ; -   ; 447 ; 909 ; -   ; 21 ; -   ; 29 ; -   ; -   ; -   ; -   ; 1 ; 14 ; -   ; -   ; 2 ; 12 ; -   
5108600;725;2.721;680;4; -   ;545;73;14;14;3;1; -   ;5;9;31;146;61;9; -   ;42;97; -   ; 148 ; 1.277 ; 118 ; -   ; 693 ; 403 ; 82 ; 32 ; 1 ; 42 ; -   ; 5 ; -   ; -   ; 2 ; 11 ; 1 ; -   ; 2 ; 9 ; 1 
5200050;511;2.136;528; -   ; -   ;158;50;5;7;1; -   ; -   ;1;8;31;86;27; -   ; -   ;15;67; -   ; -   ; 1.199 ; 62 ; -   ; 221 ; 654 ; -   ; 47 ; 5 ; 42 ; -   ; -   ; -   ; -   ; -   ; 4 ; 1 ; -   ; 1 ; 2 ; -   
5200100;397;2.165;760; -   ; -   ;137;40;5;11;3; -   ; -   ;1;8;26;114;50; -   ; -   ;23;75; -   ; 21 ; 959 ; 218 ; -   ; 756 ; -   ; 211 ; 37 ; 19 ; 40 ; 22 ; 2 ; -   ; -   ; 1 ; 6 ; 3 ; -   ; 2 ; -   ; 2 
5200134;1.005;2.724;740; -   ; -   ;376;125;8;10;3; -   ; -   ;3;14;59;124;47; -   ; -   ;33;97; -   ; -   ; 1.202 ; 199 ; -   ; 1.071 ; 119 ; 133 ; 50 ; 22 ; 54 ; 21 ; -   ; -   ; -   ; -   ; 4 ; 3 ; -   ; 3 ; 1 ; 2 
5200159;72;317;78; -   ; -   ;10;3;1;2;1; -   ; -   ;1;1;5;21;9; -   ; -   ;8;9; -   ; -   ; 179 ; -   ; -   ; 138 ; -   ; -   ; 9 ; -   ; 12 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   
5200175;91;829;192; -   ; -   ;34;14;2;8;2; -   ; -   ;1;6;5;53;22; -   ; -   ;8;30; -   ; 36 ; 381 ; -   ; -   ; 311 ; 101 ; -   ; 25 ; -   ; 30 ; -   ; 3 ; -   ; -   ; 1 ; 6 ; -   ; -   ; 2 ; 1 ; -   
5200209;101;192;72; -   ; -   ;10;13;1;2;1; -   ; -   ;1;2;10;18;11; -   ; -   ;6;13; -   ; -   ; 103 ; -   ; -   ; 89 ; -   ; -   ; 10 ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   
5200258;7.534;32.061;5.973;929; -   ;4.250;1.169;81;91;31;2; -   ;25;89;292;1.279;480;56; -   ;292;992; -   ; -   ; 14.931 ; 2.972 ; -   ; 11.736 ; -   ; 2.422 ; 548 ; 205 ; 420 ; 207 ; 57 ; -   ; -   ; -   ; 41 ; 33 ; -   ; 17 ; -   ; 26 
5200308;900;3.998;1.169;89; -   ;276;130;14;23;6;2; -   ;4;22;48;189;76;5; -   ;39;166; -   ; -   ; 1.783 ; 339 ; -   ; 1.146 ; 535 ; 195 ; 67 ; 19 ; 99 ; 22 ; 6 ; -   ; -   ; -   ; 14 ; 3 ; -   ; 4 ; 3 ; 2 
5200506;53;203;41; -   ; -   ;19;11;1;1;1; -   ; -   ;1;2;4;11;8; -   ; -   ;4;10; -   ; 101 ; -   ; -   ; -   ; 102 ; -   ; -   ; 5 ; -   ; 7 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   
5200555;363;894;177;39; -   ;134;40;1;2;1;1; -   ;2;3;18;53;15;1; -   ;21;43; -   ; -   ; 475 ; -   ; -   ; 139 ; 280 ; -   ; 23 ; -   ; 32 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   
5200605;417;1.351;291; -   ; -   ;83;28;10;9;2; -   ; -   ;2;9;37;78;24; -   ; -   ;19;60; -   ; -   ; 594 ; 197 ; -   ; 329 ; 65 ; 166 ; 28 ; 17 ; 23 ; 22 ; 3 ; 7 ; -   ; -   ; 5 ; 3 ; -   ; 1 ; 2 ; 3 
5200803;371;1.298;332; -   ; -   ;161;76;4;8;2; -   ; -   ;1;8;21;71;31; -   ; -   ;11;81; -   ; 74 ; 582 ; -   ; -   ; 296 ; 346 ; -   ; 27 ; -   ; 46 ; -   ; 3 ; -   ; -   ; 1 ; 5 ; -   ; -   ; 3 ; 1 ; -   
5200829;64;494;82; -   ; -   ;24;37;3;6;1; -   ; -   ;1;4;6;47;15; -   ; -   ;5;36; -   ; -   ; 263 ; -   ; -   ; 185 ; 46 ; -   ; 23 ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; 1 ; 1 ; -   
5200852;147;689;196; -   ; -   ; -   ;71;1;3;1; -   ; -   ; -   ;3;7;40;15; -   ; -   ; -   ;46; -   ; -   ; 391 ; -   ; -   ; 298 ; -   ; -   ; 16 ; -   ; 25 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   
5200902;89;355;91; -   ; -   ;19;22;2;4;1; -   ; -   ;1;3;6;33;16; -   ; -   ;10;25; -   ; 96 ; 116 ; -   ; -   ; 143 ; -   ; -   ; 13 ; -   ; 22 ; -   ; 5 ; -   ; -   ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   
5201108;12.276;50.458;13.753;2.095; -   ;5.347;1.795;113;162;48;9; -   ;35;177;764;2.169;919;123; -   ;473;2.000; -   ; 379 ; 20.097 ; 7.246 ; -   ; 10.954 ; 5.987 ; 5.795 ; 723 ; 487 ; 891 ; 348 ; 18 ; -   ; -   ; 3 ; 61 ; 55 ; -   ; 35 ; 27 ; 26 
5201207;50;119;7; -   ; -   ;22;4;1;2;1; -   ; -   ;1;2;4;9;7; -   ; -   ;6;6; -   ; -   ; 63 ; -   ; -   ; 56 ; -   ; -   ; 5 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   
5201306;548;2.063;583; -   ; -   ;138;206;11;14;1; -   ; -   ;4;13;29;104;28; -   ; -   ;28;106; -   ; 277 ; 764 ; 40 ; -   ; 900 ; 82 ; -   ; 48 ; 5 ; 52 ; -   ; 4 ; -   ; -   ; 3 ; 7 ; 1 ; -   ; 5 ; 1 ; -   
5201405;12.218;67.716;18.904;1.494;119;7.229;3.369;135;171;59;5;1;46;182;830;2.933;1.203;123;6;586;2.777; -   ; 1.418 ; 27.081 ; 7.260 ; -   ; 21.739 ; 3.669 ; 6.549 ; 1.173 ; 397 ; 1.129 ; 414 ; 69 ; -   ; -   ; 7 ; 61 ; 55 ; -   ; 50 ; 12 ; 36 
5201454;126;486;120; -   ; -   ;7;41;1;1;1; -   ; -   ;1;3;10;19;7; -   ; -   ;6;23; -   ; -   ; 247 ; -   ; -   ; -   ; 239 ; -   ; 11 ; -   ; 8 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   
5201504;227;609;156; -   ; -   ;103;22;3;3;1; -   ; -   ;2;3;13;40;18; -   ; -   ;16;38; -   ; -   ; 362 ; -   ; -   ; 247 ; -   ; -   ; 22 ; -   ; 18 ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   
5201603;83;427;133; -   ; -   ; -   ;24;1;3;1; -   ; -   ; -   ;3;4;31;13; -   ; -   ; -   ;25; -   ; 84 ; 154 ; -   ; -   ; 189 ; -   ; -   ; 18 ; -   ; 13 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   
5201702;604;2.201;327;12; -   ;383;211;8;12;3;1; -   ;3;15;27;128;40;6; -   ;41;137; -   ; 298 ; 962 ; 32 ; -   ; 594 ; 315 ; -   ; 63 ; 6 ; 61 ; -   ; -   ; -   ; -   ; 2 ; 5 ; 1 ; -   ; 4 ; 1 ; -   
5201801;354;1.507;280; -   ; -   ;97;184;6;8;1; -   ; -   ;1;8;17;65;19; -   ; -   ;14;65; -   ; -   ; 850 ; 45 ; -   ; 612 ; -   ; -   ; 37 ; 5 ; 23 ; -   ; -   ; -   ; -   ; -   ; 5 ; 1 ; -   ; 2 ; -   ; -   
5202155;216;912;241; -   ; -   ;57;34;3;6;1; -   ; -   ;1;8;10;53;9; -   ; -   ;4;41; -   ; 1 ; 463 ; -   ; -   ; 377 ; 71 ; -   ; 23 ; -   ; 30 ; -   ; 14 ; -   ; -   ; 1 ; 5 ; -   ; -   ; 1 ; 2 ; -   
5202353;132;394;87; -   ; -   ;53;33;3;3;1; -   ; -   ;2;4;10;33;15; -   ; -   ;14;30; -   ; -   ; 213 ; -   ; -   ; 163 ; 18 ; -   ; 12 ; -   ; 21 ; -   ; 7 ; -   ; -   ; -   ; 2 ; -   ; -   ; 1 ; 1 ; -   
